,word,syllable
0,автобиографический,8
1,администрирование,8
2,автоматизированный,8
3,абонементодержатель,8
4,автовеломотогонки,8
5,автоматизированных,8
6,азотофиксирующий,8
7,анаморфирование,8
8,авиапредприятие,8
9,алмазодобывающий,8
10,бактериологический,8
11,благоприобретение,8
12,благоприятствование,8
13,билетопечатающий,8
14,бактерионосительство,8
15,благорасположение,8
16,биофармацевтический,8
17,бактериоуловитель,8
18,болеутоляющее,8
19,берегоукрепительный,8
20,вероисповедание,8
21,взаимоотношения,8
22,взаимопонимание,8
23,видеонаблюдение,8
24,времяпрепровождение,8
25,взаимоотношениях,8
26,вышеперечисленные,8
27,внешнеэкономический,8
28,выюиделивидели,8
29,взаимоотношение,8
30,гидроэлектростанция,8
31,главнокомандующего,8
32,газораспределение,8
33,глубокоуважаемый,8
34,гидроэлектростанцией,8
35,геополитического,8
36,генеалогическое,8
37,головокружительная,8
38,головокружительную,8
39,горнодобывающая,8
40,достопримечательности,8
41,документационного,8
42,дисквалифицировали,8
43,документооборота,8
44,достопримечательностей,8
45,документационные,8
46,дифференцированная,8
47,дезинфецирующее,8
48,диагностируемого,8
49,достопримечательностям,8
50,жизнеобеспечение,8
51,жизнеутверждающие,8
52,жизнеобеспечения,8
53,заводоуправление,8
54,заинтересованные,8
55,завораживающее,8
56,зарегистрированная,8
57,запоминающаяся,8
58,заинтересовывает,8
59,завораживающая,8
60,засухоустойчивая,8
61,заинтересованностью,8
62,зарегистрированные,8
63,интернациональная,8
64,идентификационный,8
65,индустриализации,8
66,иннерверимуемые,8
67,идолопоклонниками,8
68,империалистических,8
69,инициализация,8
70,ираианяипапа,8
71,изгородиизобразил,8
72,интересующиеся,8
73,квалификационная,8
74,капиталистического,8
75,квалификационные,8
76,квалифицированные,8
77,кардиореспираторной,8
78,криминалистического,8
79,коммерциализации,8
80,конкурентоспособными,8
81,канализационные,8
82,конкурентноспособностью,8
83,лесозаготовительных,8
84,лесообразующая,8
85,логарифмирования,8
86,лексикографического,8
87,материалистических,8
88,многонациональная,8
89,машиностроительная,8
90,многообещающая,8
91,металлообнаружитель,8
92,метеорологический,8
93,месторасположение,8
94,макроэкономический,8
95,метеорологических,8
96,минералогическая,8
97,налогообложение,8
98,неудовлетворительно,8
99,неудовлетворительный,8
100,несанкционированный,8
101,налогообложения,8
