;Natasha_no_hyphen1;Tokens;Lemmas;wh_words;wh_dicts
64;Да и кому бы?;5;[{'CCONJ': 'да'}, {'CCONJ': 'и'}, {'PRON': 'кто'}, {'AUX': 'бы'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
68;Кто станет тебе писать?;5;[{'PRON': 'кто'}, {'VERB': 'стать'}, {'PRON': 'ты'}, {'VERB': 'писать'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
75;Кто мне пишет?;4;[{'PRON': 'кто'}, {'PRON': 'я'}, {'VERB': 'писать'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
77;Кому это ты так нужен?;6;[{'PRON': 'кто'}, {'PRON': 'это'}, {'PRON': 'ты'}, {'ADV': 'так'}, {'ADJ': 'нужный'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
87;Кто здесь?;3;[{'PRON': 'кто'}, {'ADV': 'здесь'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
89;Вы кто?;3;[{'PRON': 'вы'}, {'PRON': 'кто'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
91;Кто вы?;3;[{'PRON': 'кто'}, {'PRON': 'вы'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
101;И тебе не сказали, кто ты есть?;9;[{'CCONJ': 'и'}, {'PRON': 'ты'}, {'PART': 'не'}, {'VERB': 'сказать'}, {'PUNCT': ','}, {'PRON': 'кто'}, {'PRON': 'ты'}, {'VERB': 'быть'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
108;С такими предками кем тебе еще быть?;8;[{'ADP': 'с'}, {'DET': 'такой'}, {'NOUN': 'предок'}, {'PRON': 'кто'}, {'PRON': 'ты'}, {'ADV': 'еще'}, {'VERB': 'быть'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
181;И часто вы проверяете, нет ли кого внутри?;10;[{'CCONJ': 'и'}, {'ADV': 'часто'}, {'PRON': 'вы'}, {'VERB': 'проверять'}, {'PUNCT': ','}, {'VERB': 'нет'}, {'PART': 'ли'}, {'PRON': 'кто'}, {'ADV': 'внутри'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
242;Знаешь, кто этот мальчик, который вместе с нами проходил на платформу?;14;[{'VERB': 'знать'}, {'PUNCT': ','}, {'PRON': 'кто'}, {'DET': 'этот'}, {'NOUN': 'мальчик'}, {'PUNCT': ','}, {'PRON': 'который'}, {'ADV': 'вместе'}, {'ADP': 'с'}, {'PRON': 'мы'}, {'VERB': 'проходить'}, {'ADP': 'на'}, {'NOUN': 'платформа'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
244;Угадай, кто это?;5;[{'PROPN': 'угадать'}, {'PUNCT': ','}, {'PRON': 'кто'}, {'PRON': 'это'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
280;А кем стали после школы твои старшие братья?;9;[{'CCONJ': 'а'}, {'PRON': 'кто'}, {'VERB': 'стать'}, {'ADP': 'после'}, {'NOUN': 'школа'}, {'DET': 'твой'}, {'ADJ': 'старший'}, {'NOUN': 'брат'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
332;Кто это разговаривает с профессором Страунсом?;7;[{'PRON': 'кто'}, {'PRON': 'это'}, {'VERB': 'разговаривать'}, {'ADP': 'с'}, {'NOUN': 'профессор'}, {'PROPN': 'страунс'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
392;Я буду секундантом, а у тебя кто?;9;[{'PRON': 'я'}, {'AUX': 'быть'}, {'VERB': 'секундантом'}, {'PUNCT': ','}, {'CCONJ': 'а'}, {'ADP': 'у'}, {'PRON': 'ты'}, {'PRON': 'кто'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
444;Гермиона, кто никогда не нарушает правила, делает вид, будто их нарушила, – и все ради их спасения?;22;[{'PROPN': 'гермиона'}, {'PUNCT': ','}, {'PRON': 'кто'}, {'ADV': 'никогда'}, {'PART': 'не'}, {'VERB': 'нарушать'}, {'NOUN': 'правило'}, {'PUNCT': ','}, {'VERB': 'делать'}, {'NOUN': 'вид'}, {'PUNCT': ','}, {'SCONJ': 'будто'}, {'PRON': 'они'}, {'VERB': 'нарушить'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'CCONJ': 'и'}, {'PRON': 'весь'}, {'ADP': 'ради'}, {'DET': 'их'}, {'NOUN': 'спасение'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
489;От Огрида, от дяди с тетей – аэтоот кого?;11;[{'ADP': 'от'}, {'PROPN': 'огрид'}, {'PUNCT': ','}, {'ADP': 'от'}, {'NOUN': 'дядя'}, {'ADP': 'с'}, {'NOUN': 'тетя'}, {'PUNCT': '–'}, {'NOUN': 'аэтоот'}, {'PRON': 'кто'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
492;Кто прислал плащ?;4;[{'PRON': 'кто'}, {'VERB': 'прислать'}, {'NOUN': 'плащ'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
497;Кто тут?;3;[{'PRON': 'кто'}, {'ADV': 'тут'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
509;Кому до него есть дело?;6;[{'PRON': 'кто'}, {'ADP': 'до'}, {'PRON': 'он'}, {'VERB': 'быть'}, {'NOUN': 'дело'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
581;Кто там?;3;[{'PRON': 'кто'}, {'ADV': 'там'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
584;Кому, кроме тебя, доверяет Думбльдор?;8;[{'PRON': 'кто'}, {'PUNCT': ','}, {'ADP': 'кроме'}, {'PRON': 'ты'}, {'PUNCT': ','}, {'VERB': 'доверять'}, {'PROPN': 'думбльдор'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
624;И кому, по-вашему, поверят, ему или нам?;11;[{'CCONJ': 'и'}, {'PRON': 'кто'}, {'PUNCT': ','}, {'VERB': 'по-вашему'}, {'PUNCT': ','}, {'VERB': 'поверить'}, {'PUNCT': ','}, {'PRON': 'он'}, {'CCONJ': 'или'}, {'PRON': 'мы'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
635;А если тот, кто его покалечил, найдет нас первым?;12;[{'CCONJ': 'а'}, {'SCONJ': 'если'}, {'DET': 'тот'}, {'PUNCT': ','}, {'PRON': 'кто'}, {'PRON': 'он'}, {'VERB': 'покалечить'}, {'PUNCT': ','}, {'VERB': 'найти'}, {'PRON': 'мы'}, {'ADJ': 'первый'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
639;Кто идет?;3;[{'PRON': 'кто'}, {'VERB': 'идти'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
640;И на поляне появился… кто, человек или конь?;11;[{'CCONJ': 'и'}, {'ADP': 'на'}, {'NOUN': 'поляна'}, {'VERB': 'появиться'}, {'PUNCT': '…'}, {'PRON': 'кто'}, {'PUNCT': ','}, {'NOUN': 'человек'}, {'CCONJ': 'или'}, {'NOUN': 'конь'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
665;А ты не видишь, кто это такой?;9;[{'CCONJ': 'а'}, {'PRON': 'ты'}, {'PART': 'не'}, {'VERB': 'видеть'}, {'PUNCT': ','}, {'PRON': 'кто'}, {'PRON': 'это'}, {'DET': 'такой'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
673;И вообще, от кого вы меня спасли?;9;[{'CCONJ': 'и'}, {'ADV': 'вообще'}, {'PUNCT': ','}, {'ADP': 'от'}, {'PRON': 'кто'}, {'PRON': 'вы'}, {'PRON': 'я'}, {'VERB': 'спасти'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
675;Но кто на это пойдет?;6;[{'CCONJ': 'но'}, {'PRON': 'кто'}, {'ADP': 'на'}, {'PRON': 'это'}, {'VERB': 'пойти'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
728;Кто тут?;3;[{'PRON': 'кто'}, {'ADV': 'тут'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
741;ВЕДЬМА ТЫ ИЛИ КТО?;5;[{'NOUN': 'ведьма'}, {'NOUN': 'ты'}, {'CCONJ': 'или'}, {'VERB': 'кто'}, {'PUNCT': '?'}];кто;[{'VERB': 'кто'}]
768;Кто рядом с ним заподозрит н-несчастного, б-бедного з-заику п-п-профессора С-Страунса?;12;[{'PRON': 'кто'}, {'ADV': 'рядом'}, {'ADP': 'с'}, {'PRON': 'он'}, {'VERB': 'заподозрить'}, {'NOUN': 'н-несчастный'}, {'PUNCT': ','}, {'VERB': 'б-бедный'}, {'ADJ': 'з-заика'}, {'X': 'п-п-профессора'}, {'X': 'с-страунса'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
791;А у кого же он?;6;[{'CCONJ': 'а'}, {'ADP': 'у'}, {'PRON': 'кто'}, {'PART': 'же'}, {'PRON': 'он'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
807;Вы не знаете, кто мне его прислал?;9;[{'PRON': 'вы'}, {'PART': 'не'}, {'VERB': 'знать'}, {'PUNCT': ','}, {'PRON': 'кто'}, {'PRON': 'я'}, {'PRON': 'он'}, {'VERB': 'прислать'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
873;Вы же знаете, кто такой Думбльдор?;8;[{'PRON': 'вы'}, {'PART': 'же'}, {'VERB': 'знать'}, {'PUNCT': ','}, {'PRON': 'кто'}, {'DET': 'такой'}, {'PROPN': 'думбльдор'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
900;Кто это – Эррол?;5;[{'PRON': 'кто'}, {'PRON': 'это'}, {'PUNCT': '–'}, {'PROPN': 'эррол'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
