,word,syllables
0,зонтик,2
1,макроэкономический,7
2,неодинаково,5
3,топсайдеры,4
4,щавеля,3
5,царство,2
6,химиопрофилактика,7
7,реабилитационную,6
8,гвоздика,3
9,Египет,3
10,французского,4
11,ща,1
12,соответственно,4
13,фигуристы,4
14,ясновидение,5
15,мост,1
16,хореографическое,6
17,гнездо,2
18,фиалка,2
19,западносахалинский,7
20,распространено,5
21,щепотка,3
22,уважение,4
23,колыбельная,4
24,железнодорожника,7
25,лук,1
26,парикмахерская,5
27,ярмарка,3
28,деятельность,3
29,расписание,4
30,библиотека,4
31,научился,3
32,имя,2
33,утюг,2
34,инструменты,4
35,заключается,4
36,медвежонок,4
37,чеснок,2
38,Юра,2
39,животных,3
40,гвоздь,1
41,юридических,5
42,трава,2
43,загадка,3
44,рисовать,3
45,Татьяна,3
46,характеризировать,7
47,целеустремленность,5
48,являющемуся,5
49,энергосберегающая,7
50,изобразительное,6
51,интересный,4
52,на,1
53,воспоминание,5
54,Чиполлино,4
55,зоопарке,3
56,сестра,2
57,юрисконсульт,4
58,широкополосный,6
59,ясень,2
60,фотоаппарат,4
61,ёжиком,3
62,читайте,3
63,литературные,5
64,олицетворяющее,6
65,желудок,3
66,самолёт,3
67,ядовитое,4
68,осенью,3
69,берегоукрепительный,7
70,мышка,2
71,делопроизводство,5
72,подлежащее,4
73,юниор,2
74,ципрофлоксацин,5
75,аккуратно,4
76,деятельности,4
77,расстояние,3
78,алфавит,3
79,фотография,4
80,въезд,1
81,шесть,1
82,криминалистического,8
83,уклонообразующий,6
84,золотистые,4
85,юношеский,4
86,эксплуатационный,5
87,ламинирование,6
88,бактериологические,7
89,индивидуальный,5
90,самостоятельности,6
91,стул,1
92,юбилей,3
93,целесообразностью,6
94,уведомление,5
95,яд,1
96,макроэкономическое,7
97,магнитофон,4
98,Эдуард,2
99,Водоплавающая,5
100,малооплачиваемая,6
101,доказательство,5
102,интересно,4
103,перераспределение,7
104,фирма,2
105,фотосинтезирующая,7
106,большой,2
107,история,3
108,ноутбук,2
109,ёж,1
110,аристократический,7
111,змей,1
112,термопреобразователь,7
113,майка,2
114,энергосберегающие,7
115,щу,1
116,рождения,3
117,сосна,2
118,шампанское,3
119,царапается,4
120,гитара,3
121,муравейник,4
122,Ютуб,2
123,геркулес,3
124,являющаяся,4
125,человеколюбивым,7
126,Юрий,2
127,распространенное,5
128,Циолковского,4
129,центр,1
130,индивидуальные,5
131,газонепроницаемые,7
132,коммерциализации,6
133,благотворительность,6
134,удостоверение,6
135,цивилизация,5
136,фильм,1
137,рассказ,2
138,употребления,5
139,царь,1
140,тополь,2
141,юристконсульта,5
142,ираианяипапа,5
143,чёрные,2
144,нитка,2
145,чудесные,3
146,зоологические,5
147,юла,2
148,общечеловеческие,7
149,многофункциональный,6
150,тюль,1
151,автомобилестроение,7
152,цапля,2
153,шестидесятничества,7
154,черёмуха,4
155,смородина,4
156,квалифицированные,7
157,конкурентоспособными,8
158,жаворонок,4
159,астра,2
160,йорж,1
161,ус,1
162,юнга,2
163,валенки,3
164,индейка,3
165,лимитирующее,5
166,улица,3
167,экскурсия,3
168,ресторан,3
169,фрукты,2
170,взаимоотношениях,5
171,заливаются,4
172,южноамериканка,6
173,разрабытываемое,6
174,ландыш,2
175,бактериоуловитель,6
176,многонациональная,6
177,лес,1
178,йотта,2
179,Екатеринбург,5
180,объяснение,4
181,целебные,3
182,экран,2
183,шустрые,2
184,коллекционный,4
185,журавль,2
186,угольки,3
187,детство,2
188,целесообразно,5
189,чередующиеся,5
190,характеризующая,6
191,биофармацевтический,7
192,Классификация,5
193,телосложение,5
194,филологический,6
195,четырнадцатилетие,7
196,колокольчик,4
197,транспортирования,6
198,чьи,1
199,логарифмирования,7
200,жёрдочка,3
201,бензиновый,4
202,юстирование,5
203,оборотоспособности,8
204,цыплёнок,3
205,листья,2
206,психоневрологического,9
207,юмористическим,6
208,экскаваторщик,5
209,бровь,1
210,юмористического,7
211,ад,1
212,исследование,5
213,щурится,3
214,злой,1
215,учитель,3
216,гости,2
217,произведения,4
218,молния,2
219,щип,1
220,гиппопотам,4
221,метеорологических,7
222,калейдоскоп,4
223,хорёк,2
224,разливается,4
225,языческие,4
226,анаморфирование,7
227,завтра,2
228,освидетельствования,7
229,Владимировна,5
230,широковещательность,7
231,электроэнергии,5
232,желание,3
233,ямб,1
234,самосовершенствоваться,8
235,цилиндрический,5
236,ей,1
237,попугаи,3
238,неодушевленный,5
239,ухо,2
240,рот,1
241,кораблестроители,6
242,яркий,2
243,телекоммуникационной,8
244,Арш,1
245,щупальца,3
246,яма,2
247,чашка,2
248,щепка,2
249,тень,1
250,забияка,3
251,концентрация,4
252,Йокагама,4
253,энергосберегающий,7
254,сказуемое,3
255,кондиционер,4
256,коэффициентов,4
257,труднообрабатываемых,7
258,холст,1
259,материаловедческое,7
260,хозяина,3
261,осина,3
262,лингвистика,4
263,факел,2
264,равнодействующую,5
265,Инна,2
266,послеоперационные,6
267,юридическая,5
268,шумоподавление,6
269,жёлудь,2
270,пресмыкающиеся,5
271,третьяковская,4
272,высокоэнергетических,8
273,тёплая,2
274,регламентирующими,7
275,биотехнологического,8
276,комедия,3
277,фокус,2
278,фотографирующиеся,7
279,обслуживание,5
280,заинтересованность,6
281,одиночество,5
282,зубр,1
283,жемчужина,4
284,культурноисторическими,8
285,черносмородиновое,7
286,чиж,1
287,южноамериканец,6
288,Великобритания,6
289,гидроизолирующие,6
290,четырехугольнике,7
291,украшения,4
292,галстук,2
293,путешествие,4
294,шишки,2
295,головокружительным,7
296,замерзающего,5
297,муниципального,6
298,характеристическими,8
299,объезд,2
300,щиколотка,4
301,хореографические,6
302,рассказывает,4
303,заявление,3
304,Гагарина,4
305,деревня,3
306,скорая,2
307,Йемен,2
308,жизнедеятельность,5
309,испугала,4
310,воробьиное,4
311,администрирование,7
312,олимпиада,4
313,шарикоподшипник,6
314,комбинированный,6
315,очень,2
316,Ил,1
317,трость,1
318,документооборота,7
319,носорог,3
320,Америка,4
321,могущественный,5
322,ломоносовская,5
323,церемония,4
324,ультрафиолетового,7
325,здравствуй,2
326,сковорода,4
327,художественной,5
328,эксплуатационная,5
329,ёжился,3
330,Элла,2
331,оперуполномоченного,9
332,юриспруденция,5
333,тепломеханического,8
334,соловьи,3
335,характеризовалась,7
336,ай,1
337,ножницами,4
338,осень,2
339,размышления,4
340,лиловые,3
341,его,2
342,энциклопедия,5
343,чересполосица,6
344,классная,2
345,март,1
346,чудеса,3
347,трудолюбивый,5
348,фортуна,3
349,карандаши,4
350,шиповник,3
