Unnamed: 0,Natasha_no_hyphen1,Tokens,Lemmas,wh_words,wh_dicts,annotation
218,А зачем вам в Лондон?,6,"[{'CCONJ': 'а'}, {'ADV': 'зачем'}, {'PRON': 'вы'}, {'ADP': 'в'}, {'PROPN': 'лондон'}, {'PUNCT': '?'}]",зачем,[{'ADV': 'зачем'}],0
250,Зачем напоминать ему об этом в первый же школьный день?,11,"[{'ADV': 'зачем'}, {'VERB': 'напоминать'}, {'PRON': 'он'}, {'ADP': 'о'}, {'PRON': 'это'}, {'ADP': 'в'}, {'ADJ': 'первый'}, {'PART': 'же'}, {'ADJ': 'школьный'}, {'NOUN': 'день'}, {'PUNCT': '?'}]",зачем,[{'ADV': 'зачем'}],0
770,"Зачем, по-твоему, он потом взялся судить матч?",10,"[{'ADV': 'зачем'}, {'PUNCT': ','}, {'ADV': 'по-твоему'}, {'PUNCT': ','}, {'PRON': 'он'}, {'ADV': 'потом'}, {'VERB': 'взяться'}, {'VERB': 'судить'}, {'NOUN': 'матч'}, {'PUNCT': '?'}]",зачем,[{'ADV': 'зачем'}],0
804,Но зачем ему было убиватьменя?,6,"[{'CCONJ': 'но'}, {'ADV': 'зачем'}, {'PRON': 'он'}, {'AUX': 'быть'}, {'VERB': 'убиватьменя'}, {'PUNCT': '?'}]",зачем,[{'ADV': 'зачем'}],0
869,Но зачем предупреждатьменя?,4,"[{'CCONJ': 'но'}, {'ADV': 'зачем'}, {'ADJ': 'предупреждатьменя'}, {'PUNCT': '?'}]",зачем,[{'ADV': 'зачем'}],0
932,"Ну и зачем она мне, если меня не примут в команду?",13,"[{'PART': 'ну'}, {'CCONJ': 'и'}, {'ADV': 'зачем'}, {'PRON': 'она'}, {'PRON': 'я'}, {'PUNCT': ','}, {'SCONJ': 'если'}, {'PRON': 'я'}, {'PART': 'не'}, {'VERB': 'принять'}, {'ADP': 'в'}, {'NOUN': 'команда'}, {'PUNCT': '?'}]",зачем,[{'ADV': 'зачем'}],0
940,А ты зачем там?,5,"[{'CCONJ': 'а'}, {'PRON': 'ты'}, {'ADV': 'зачем'}, {'ADV': 'там'}, {'PUNCT': '?'}]",зачем,[{'ADV': 'зачем'}],0
1014,"А зачем, интересно, – осведомился Рон, выхватив у нее листок с расписанием, – ты нарисовала сердечки вокруг всех Чаруальдовых уроков?",25,"[{'CCONJ': 'а'}, {'ADV': 'зачем'}, {'PUNCT': ','}, {'ADJ': 'интересный'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'NOUN': 'осведомиться'}, {'PROPN': 'рон'}, {'PUNCT': ','}, {'VERB': 'выхватить'}, {'ADP': 'у'}, {'PRON': 'она'}, {'NOUN': 'листок'}, {'ADP': 'с'}, {'NOUN': 'расписание'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'PRON': 'ты'}, {'VERB': 'нарисовать'}, {'NOUN': 'сердечко'}, {'ADP': 'вокруг'}, {'DET': 'весь'}, {'ADJ': 'чаруальдовый'}, {'NOUN': 'урок'}, {'PUNCT': '?'}]",зачем,[{'ADV': 'зачем'}],2
1097,"Спрашивается, зачем Филчу курс «Быстрочар»?",9,"[{'ADV': 'спрашивается'}, {'PUNCT': ','}, {'ADV': 'зачем'}, {'PROPN': 'филча'}, {'NOUN': 'курс'}, {'PUNCT': '«'}, {'PROPN': 'быстрочар'}, {'PUNCT': '»'}, {'PUNCT': '?'}]",зачем,[{'ADV': 'зачем'}],0
1135,Зачем вы пошли наверх?,5,"[{'ADV': 'зачем'}, {'PRON': 'вы'}, {'VERB': 'пойти'}, {'ADV': 'наверх'}, {'PUNCT': '?'}]",зачем,[{'ADV': 'зачем'}],0
1143,Зачем тебе?,3,"[{'ADV': 'зачем'}, {'PRON': 'ты'}, {'PUNCT': '?'}]",зачем,[{'ADV': 'зачем'}],0
1277,Зачем он тебе?,4,"[{'PROPN': 'зачем'}, {'PRON': 'он'}, {'PRON': 'ты'}, {'PUNCT': '?'}]",зачем,[{'PROPN': 'зачем'}],0
1396,А в библиотеку-то ей зачем?,6,"[{'CCONJ': 'а'}, {'ADP': 'в'}, {'NOUN': 'библиотека-то'}, {'PRON': 'она'}, {'ADV': 'зачем'}, {'PUNCT': '?'}]",зачем,[{'ADV': 'зачем'}],0
1403,А это зачем?,4,"[{'CCONJ': 'а'}, {'PRON': 'это'}, {'ADV': 'зачем'}, {'PUNCT': '?'}]",зачем,[{'ADV': 'зачем'}],0
1442,Но зачем он прислал вас?,6,"[{'CCONJ': 'но'}, {'ADV': 'зачем'}, {'PRON': 'он'}, {'VERB': 'прислать'}, {'PRON': 'вы'}, {'PUNCT': '?'}]",зачем,[{'ADV': 'зачем'}],0
1451,Зачем было посылать нас туда?,6,"[{'ADV': 'зачем'}, {'AUX': 'быть'}, {'VERB': 'посылать'}, {'PRON': 'мы'}, {'ADV': 'туда'}, {'PUNCT': '?'}]",зачем,[{'ADV': 'зачем'}],0
1519,И зачем тебе со мной встречаться?,7,"[{'CCONJ': 'и'}, {'ADV': 'зачем'}, {'PRON': 'ты'}, {'ADP': 'с'}, {'PRON': 'я'}, {'VERB': 'встречаться'}, {'PUNCT': '?'}]",зачем,[{'ADV': 'зачем'}],0
1628,Гарри не понимал одного: зачем?,7,"[{'PROPN': 'гарри'}, {'PART': 'не'}, {'VERB': 'понимать'}, {'NUM': 'один'}, {'PUNCT': ':'}, {'ADV': 'зачем'}, {'PUNCT': '?'}]",зачем,[{'ADV': 'зачем'}],2
1703,"Зачем Фудж дожидался его у «Дырявого котла», если не затем, чтобы наказать за содеянное?",19,"[{'PROPN': 'зачем'}, {'PROPN': 'фудж'}, {'VERB': 'дожидаться'}, {'PRON': 'он'}, {'ADP': 'у'}, {'PUNCT': '«'}, {'ADJ': 'дырявый'}, {'NOUN': 'котел'}, {'PUNCT': '»'}, {'PUNCT': ','}, {'SCONJ': 'если'}, {'PART': 'не'}, {'ADV': 'затем'}, {'PUNCT': ','}, {'SCONJ': 'чтобы'}, {'VERB': 'наказать'}, {'ADP': 'за'}, {'VERB': 'содеять'}, {'PUNCT': '?'}]",зачем,[{'PROPN': 'зачем'}],0
1729,Мугловедение-то тебе зачем?,4,"[{'PROPN': 'мугловедение-то'}, {'PRON': 'ты'}, {'ADV': 'зачем'}, {'PUNCT': '?'}]",зачем,[{'ADV': 'зачем'}],0
1747,Это еще зачем?,4,"[{'PRON': 'это'}, {'ADV': 'еще'}, {'ADV': 'зачем'}, {'PUNCT': '?'}]",зачем,[{'ADV': 'зачем'}],0
1924,Зачем ты их с собой таскаешь?,7,"[{'ADV': 'зачем'}, {'PRON': 'ты'}, {'PRON': 'они'}, {'ADP': 'с'}, {'PRON': 'себя'}, {'NOUN': 'таскаешь'}, {'PUNCT': '?'}]",зачем,[{'ADV': 'зачем'}],0
1991,А зачем?,3,"[{'CCONJ': 'а'}, {'ADV': 'зачем'}, {'PUNCT': '?'}]",зачем,[{'ADV': 'зачем'}],0
2032,"Зачем спрашивать, если не хотите, чтоб вам отвечали?",11,"[{'ADV': 'зачем'}, {'VERB': 'спрашивать'}, {'PUNCT': ','}, {'SCONJ': 'если'}, {'PART': 'не'}, {'VERB': 'хотеть'}, {'PUNCT': ','}, {'SCONJ': 'чтоб'}, {'PRON': 'вы'}, {'VERB': 'отвечать'}, {'PUNCT': '?'}]",зачем,[{'ADV': 'зачем'}],0
2039,Вот зачем так делать?,5,"[{'PART': 'вот'}, {'ADV': 'зачем'}, {'ADV': 'так'}, {'VERB': 'делать'}, {'PUNCT': '?'}]",зачем,[{'ADV': 'зачем'}],0
2044,Зачем летает?,3,"[{'ADV': 'зачем'}, {'VERB': 'летать'}, {'PUNCT': '?'}]",зачем,[{'ADV': 'зачем'}],0
2073,А зачем кусок пожелтевшего пергамента мне?,7,"[{'CCONJ': 'а'}, {'ADV': 'зачем'}, {'NOUN': 'кусок'}, {'ADJ': 'пожелтеть'}, {'VERB': 'пергамент'}, {'PRON': 'я'}, {'PUNCT': '?'}]",зачем,[{'ADV': 'зачем'}],0
2200,Ну и зачем ты помчалась к Макгонаголл?,8,"[{'PART': 'ну'}, {'CCONJ': 'и'}, {'ADV': 'зачем'}, {'PRON': 'ты'}, {'VERB': 'помчаться'}, {'ADP': 'к'}, {'PROPN': 'макгонаголл'}, {'PUNCT': '?'}]",зачем,[{'ADV': 'зачем'}],0
2305,"А это зачем, Огрид?",6,"[{'CCONJ': 'а'}, {'PRON': 'это'}, {'ADV': 'зачем'}, {'PUNCT': ','}, {'PROPN': 'огрид'}, {'PUNCT': '?'}]",зачем,[{'ADV': 'зачем'}],0
2343,И зачем же вам такойстарыйкусок пергамента?,7,"[{'CCONJ': 'и'}, {'ADV': 'зачем'}, {'PART': 'же'}, {'PRON': 'вы'}, {'VERB': 'такойстарыйкусок'}, {'NOUN': 'пергамент'}, {'PUNCT': '?'}]",зачем,[{'ADV': 'зачем'}],0
2502,Зачем же ходить так далеко?,6,"[{'ADV': 'зачем'}, {'PART': 'же'}, {'VERB': 'ходить'}, {'ADV': 'так'}, {'ADV': 'далеко'}, {'PUNCT': '?'}]",зачем,[{'ADV': 'зачем'}],0
2516,"А вы забыли, зачем ему нужно было инсценировать свою смерть?",12,"[{'CCONJ': 'а'}, {'PRON': 'вы'}, {'VERB': 'забыть'}, {'PUNCT': ','}, {'ADV': 'зачем'}, {'PRON': 'он'}, {'ADJ': 'нужный'}, {'AUX': 'быть'}, {'VERB': 'инсценировать'}, {'DET': 'свой'}, {'NOUN': 'смерть'}, {'PUNCT': '?'}]",зачем,[{'ADV': 'зачем'}],0
