ID;Russian;English
1;«Это что, нормально для кошки?» – нервно подумал мистер Дурслей, но постарался взять себя в руки и вошел в дом.Он был твердо настроен не впутывать в это дело жену.;What could he have been thinking of?
2;– Крайне загадочно… Ну, а сейчас Джим Макгаффин с прогнозом погоды.Что, будут у нас вечером совопады, Джим?;Was this normal cat behavior?
3;Метеоритные дожди по всей Британии?;"Going to be any more showers of owls tonight, Jim?"""
4;Совы средь бела дня?;Shooting stars all over Britain?
5;Странные люди в мантиях?;Owls flying by daylight?
6;– Э-э-э… Петуния, дорогая… к слову… про сестру твою ничего не слышно?;Mysterious people in cloaks all over the place?
7;– А что?;"""Er -- Petunia, dear -- you haven't heard from your sister lately, have you?"""
8;– Совы… метеоритный дождь… а еще в городе полно чудных людей…    – И что?;"""Why?"""
9;Мистер Дурслей колебался: говорить или нет, что сегодня на улице он слышал имя Поттеров?;"""Owls... shooting stars... and there were a lot of funny-looking people in town today...""  ""So?"""
10;И он спросил как можно равнодушнее:    – А их сын… Он ведь по возрасту примерно как наш Дудли?;"Instead he said, as casually as he could, ""Their son -- he'd be about Dudley's age now, wouldn't he?"""
11;– А как там его?;"""What's his name again?"
12;Говард?;"Howard, isn't it?"""
13;Неужели и это связано с Поттерами?;Was he imagining things?
14;Думбльдор хмыкнул и пробормотал:    – И как это я не догадался?;Could all this have anything to do with the Potters?
15;– Как вы догадались, что это я?;"""How did you know it was me?"""
16;– За целый день?;"""All day?"
17;Вместо того чтобы праздновать?;When you could have been celebrating?
18;Он ведь и правдасгинул,да?;"I suppose he really has gone, Dumbledore?"""
19;Хотите лимончик?;"Would you care for a lemon drop?"""
20;– Что?;"""A what?"""
21;– Нет, спасибо, – произнесла профессор Макгонаголл неодобрительно: до карамелек ли?;"""As I say, even if You-Know-Who has gone -""  ""My dear Professor, surely a sensible person like yourself can call him by his name?"
22;Но вот слухи… Слышали, о чем все говорят?;You know what everyone's saying?
23;Почему он сгинул?;About why he's disappeared?
24;И чтó его в конце концов остановило?;"About what finally stopped him?"""
25;– Это… правда?;"""It's -- it's true?"""
26;– После всего, что он сделал… стольких погубил… не сумел убить ребенка?;"""After all he's done... all the people he's killed... he couldn't kill a little boy?"
27;Поразительно… Чтобы именно это его остановило?..;"It's just astounding... of all the things to stop him... but how in the name of heaven did Harry survive?"""
28;Но как, во имя неба, Гарри выжил?;"I suppose it was he who told you I'd be here, by the way?"""
29;Это ведь он вам сказал, что я буду здесь?;"""And I don't suppose you're going to tell me why you're here, of all places?"""
30;– Да, – ответила профессор Макгонаголл, – и, я думаю, вы вряд ли объясните, почему именно здесь?;"""You don't mean -- you can't mean the people who live here?"""
31;– Что?;"""A letter?"""
32;Людям из этого дома?;"""Really, Dumbledore, you think you can explain all this in a letter?"
33;И чтобы Гарри Поттер жил с ними?..;"CarA you see how much better off he'll be, growing up away from all that until he's ready to take it?"""
34;– Письмо?;"But how is the boy getting here, Dumbledore?"""
35;– Думбльдор, вы и правда полагаете, что все это можно растолковать в письме?;"""You think it -- wise -- to trust Hagrid with something as important as this?"""
36;Разве вы не понимаете, насколько лучше, если он вырастет вдали от шумихи и узнает правду, лишь когда сможет сам во всем разобраться?;"He does tend to -- what was that?"""
37;Но как мальчик попадет сюда?;"And where did you get that motorcycle?"""
38;Она подозрительно оглядела плащ Думбльдора: не скрывается ли в складках ребенок?;"""No problems, were there?"""
39;– Полагаете, это…разумно– доверять столь важное дело Огриду?;"""Is that where -?"""
40;И его всегда так и тянет… Это ещечто такое?;"""Couldn't you do something about it, Dumbledore?"""
41;Где ты взял мотоцикл?;"""Could I -- could I say good-bye to him, sir?"""
42;– По дороге никаких неприятностей?;"""Are you up yet?"""
43;– А нельзя что-нибудь с этим сделать, Думбльдор?;"""What did you say?"""
44;– А можно… можно с ним попрощаться, сэр?;"""Nothing, nothing...""  Dudley's birthday -- how could he have forgotten?"
45;Идемте праздновать?;How's that, popkin?
46;– Ну что, встал?;"""Now what?"""
47;– Что?;"""What about what's-her-name, your friend -- Yvonne?"""
