,1,2,3,4,6,7
0,зонтик,2,зонтик,2,зонтик,2
1,макроэкономический,8,макроэкономический,8,макроэкономический,7
2,неодинаково,6,неодинаково,6,неодинаково,5
3,топсайдеры,4,топсайдеры,4,топсайдеры,4
4,щавеля,3,щавеля,3,щавеля,3
5,царство,2,царство,2,царство,2
6,химиопрофилактика,8,химиопрофилактика,8,химиопрофилактика,7
7,реабилитационную,9,реабилитационную,7,реабилитационную,6
8,гвоздика,3,гвоздика,3,гвоздика,3
9,Египет,3,Египет,3,Египет,3
10,французского,4,французского,4,французского,4
11,ща,1,ща,1,ща,1
12,соответственно,5,соответственно,5,соответственно,4
13,фигуристы,4,фигуристы,4,фигуристы,4
14,ясновидение,6,ясновидение,5,ясновидение,5
15,мост,1,мост,1,мост,1
16,хореографическое,8,хореографическое,7,хореографическое,6
17,гнездо,2,гнездо,2,гнездо,2
18,фиалка,3,фиалка,3,фиалка,2
19,западносахалинский,7,западносахалинский,7,западносахалинский,7
20,распространено,5,распространено,5,распространено,5
21,щепотка,3,щепотка,3,щепотка,3
22,уважение,5,уважение,4,уважение,4
23,колыбельная,5,колыбельная,5,колыбельная,4
24,железнодорожника,7,железнодорожника,6,железнодорожника,7
25,лук,1,лук,1,лук,1
26,парикмахерская,6,парикмахерская,5,парикмахерская,5
27,ярмарка,3,ярмарка,3,ярмарка,3
28,деятельность,4,деятельность,4,деятельность,3
29,расписание,5,расписание,4,расписание,4
30,библиотека,5,библиотека,4,библиотека,4
31,научился,4,научился,3,научился,3
32,имя,2,имя,2,имя,2
33,утюг,2,утюг,2,утюг,2
34,инструменты,4,инструменты,4,инструменты,4
35,заключается,5,заключается,4,заключается,4
36,медвежонок,4,медвежонок,3,медвежонок,4
37,чеснок,2,чеснок,2,чеснок,2
38,Юра,2,Юра,2,Юра,2
39,животных,3,животных,3,животных,3
40,гвоздь,1,гвоздь,1,гвоздь,1
41,юридических,5,юридических,5,юридических,5
42,трава,2,трава,2,трава,2
43,загадка,3,загадка,3,загадка,3
44,рисовать,3,рисовать,3,рисовать,3
45,Татьяна,3,Татьяна,3,Татьяна,3
46,характеризировать,7,характеризировать,7,характеризировать,7
47,целеустремленность,6,целеустремленность,6,целеустремленность,5
48,являющемуся,6,являющемуся,5,являющемуся,5
49,энергосберегающая,9,энергосберегающая,8,энергосберегающая,7
50,изобразительное,7,изобразительное,6,изобразительное,6
51,интересный,4,интересный,4,интересный,4
52,на,1,на,1,на,1
53,воспоминание,6,воспоминание,5,воспоминание,5
54,Чиполлино,4,Чиполлино,4,Чиполлино,4
55,зоопарке,4,зоопарке,4,зоопарке,3
56,сестра,2,сестра,2,сестра,2
57,юрисконсульт,4,юрисконсульт,5,юрисконсульт,4
58,широкополосный,6,широкополосный,6,широкополосный,6
59,ясень,2,ясень,2,ясень,2
60,фотоаппарат,5,фотоаппарат,5,фотоаппарат,4
61,ёжиком,3,ёжиком,3,ёжиком,3
62,читайте,3,читайте,2,читайте,3
63,литературные,6,литературные,5,литературные,5
64,олицетворяющее,8,олицетворяющее,6,олицетворяющее,6
65,желудок,3,желудок,3,желудок,3
66,самолёт,3,самолёт,3,самолёт,3
67,ядовитое,5,ядовитое,4,ядовитое,4
68,осенью,3,осенью,3,осенью,3
69,берегоукрепительный,8,берегоукрепительный,8,берегоукрепительный,7
70,мышка,2,мышка,2,мышка,2
71,делопроизводство,6,делопроизводство,6,делопроизводство,5
72,подлежащее,5,подлежащее,4,подлежащее,4
73,юниор,3,юниор,3,юниор,2
74,ципрофлоксацин,5,ципрофлоксацин,5,ципрофлоксацин,5
75,аккуратно,4,аккуратно,4,аккуратно,4
76,деятельности,5,деятельности,5,деятельности,4
77,расстояние,5,расстояние,4,расстояние,3
78,алфавит,3,алфавит,3,алфавит,3
79,фотография,5,фотография,5,фотография,4
80,въезд,1,въезд,1,въезд,1
81,шесть,1,шесть,1,шесть,1
82,криминалистического,8,криминалистического,7,криминалистического,8
