,Index,Baseline,Baseline count,HU,HU count,GPT,GPT count,Baseline = HU count?,Baseline = GPT count?,HU count = GPT count?,Baseline = HU word?,Baseline = GPT word?
0,0,зонтик,2,зонтик,2,зонтик,2,True,True,True,True,True
1,1,макроэкономический,8,макроэкономический,8,макроэкономический,7,True,False,False,True,True
2,2,неодинаково,6,неодинаково,6,неодинаково,5,True,False,False,True,True
3,3,топсайдеры,4,топсайдеры,4,топсайдеры,4,True,True,True,True,True
4,4,щавеля,3,щавеля,3,щавеля,3,True,True,True,True,True
5,5,царство,2,царство,2,царство,2,True,True,True,True,True
6,6,химиопрофилактика,8,химиопрофилактика,8,химиопрофилактика,7,True,False,False,True,True
7,7,реабилитационную,9,реабилитационную,7,реабилитационную,6,False,False,False,True,True
8,8,гвоздика,3,гвоздика,3,гвоздика,3,True,True,True,True,True
9,9,Египет,3,Египет,3,Египет,3,True,True,True,True,True
10,10,французского,4,французского,4,французского,4,True,True,True,True,True
11,11,ща,1,ща,1,ща,1,True,True,True,True,True
12,12,соответственно,5,соответственно,5,соответственно,4,True,False,False,True,True
13,13,фигуристы,4,фигуристы,4,фигуристы,4,True,True,True,True,True
14,14,ясновидение,6,ясновидение,5,ясновидение,5,False,False,True,True,True
15,15,мост,1,мост,1,мост,1,True,True,True,True,True
16,16,хореографическое,8,хореографическое,7,хореографическое,6,False,False,False,True,True
17,17,гнездо,2,гнездо,2,гнездо,2,True,True,True,True,True
18,18,фиалка,3,фиалка,3,фиалка,2,True,False,False,True,True
19,19,западносахалинский,7,западносахалинский,7,западносахалинский,7,True,True,True,True,True
20,20,распространено,5,распространено,5,распространено,5,True,True,True,True,True
21,21,щепотка,3,щепотка,3,щепотка,3,True,True,True,True,True
22,22,уважение,5,уважение,4,уважение,4,False,False,True,True,True
23,23,колыбельная,5,колыбельная,5,колыбельная,4,True,False,False,True,True
24,24,железнодорожника,7,железнодорожника,6,железнодорожника,7,False,True,False,True,True
25,25,лук,1,лук,1,лук,1,True,True,True,True,True
26,26,парикмахерская,6,парикмахерская,5,парикмахерская,5,False,False,True,True,True
27,27,ярмарка,3,ярмарка,3,ярмарка,3,True,True,True,True,True
28,28,деятельность,4,деятельность,4,деятельность,3,True,False,False,True,True
29,29,расписание,5,расписание,4,расписание,4,False,False,True,True,True
30,30,библиотека,5,библиотека,4,библиотека,4,False,False,True,True,True
31,31,научился,4,научился,3,научился,3,False,False,True,True,True
32,32,имя,2,имя,2,имя,2,True,True,True,True,True
33,33,утюг,2,утюг,2,утюг,2,True,True,True,True,True
34,34,инструменты,4,инструменты,4,инструменты,4,True,True,True,True,True
35,35,заключается,5,заключается,4,заключается,4,False,False,True,True,True
36,36,медвежонок,4,медвежонок,3,медвежонок,4,False,True,False,True,True
37,37,чеснок,2,чеснок,2,чеснок,2,True,True,True,True,True
38,38,Юра,2,Юра,2,Юра,2,True,True,True,True,True
39,39,животных,3,животных,3,животных,3,True,True,True,True,True
40,40,гвоздь,1,гвоздь,1,гвоздь,1,True,True,True,True,True
41,41,юридических,5,юридических,5,юридических,5,True,True,True,True,True
42,42,трава,2,трава,2,трава,2,True,True,True,True,True
43,43,загадка,3,загадка,3,загадка,3,True,True,True,True,True
44,44,рисовать,3,рисовать,3,рисовать,3,True,True,True,True,True
45,45,Татьяна,3,Татьяна,3,Татьяна,3,True,True,True,True,True
46,46,характеризировать,7,характеризировать,7,характеризировать,7,True,True,True,True,True
47,47,целеустремленность,6,целеустремленность,6,целеустремленность,5,True,False,False,True,True
48,48,являющемуся,6,являющемуся,5,являющемуся,5,False,False,True,True,True
49,49,энергосберегающая,9,энергосберегающая,8,энергосберегающая,7,False,False,False,True,True
50,50,изобразительное,7,изобразительное,6,изобразительное,6,False,False,True,True,True
51,51,интересный,4,интересный,4,интересный,4,True,True,True,True,True
52,52,на,1,на,1,на,1,True,True,True,True,True
53,53,воспоминание,6,воспоминание,5,воспоминание,5,False,False,True,True,True
54,54,Чиполлино,4,Чиполлино,4,Чиполлино,4,True,True,True,True,True
55,55,зоопарке,4,зоопарке,4,зоопарке,3,True,False,False,True,True
56,56,сестра,2,сестра,2,сестра,2,True,True,True,True,True
57,57,юрисконсульт,4,юрисконсульт,5,юрисконсульт,4,False,True,False,True,True
58,58,широкополосный,6,широкополосный,6,широкополосный,6,True,True,True,True,True
59,59,ясень,2,ясень,2,ясень,2,True,True,True,True,True
60,60,фотоаппарат,5,фотоаппарат,5,фотоаппарат,4,True,False,False,True,True
61,61,ёжиком,3,ёжиком,3,ёжиком,3,True,True,True,True,True
62,62,читайте,3,читайте,2,читайте,3,False,True,False,True,True
63,63,литературные,6,литературные,5,литературные,5,False,False,True,True,True
64,64,олицетворяющее,8,олицетворяющее,6,олицетворяющее,6,False,False,True,True,True
65,65,желудок,3,желудок,3,желудок,3,True,True,True,True,True
66,66,самолёт,3,самолёт,3,самолёт,3,True,True,True,True,True
67,67,ядовитое,5,ядовитое,4,ядовитое,4,False,False,True,True,True
68,68,осенью,3,осенью,3,осенью,3,True,True,True,True,True
69,69,берегоукрепительный,8,берегоукрепительный,8,берегоукрепительный,7,True,False,False,True,True
70,70,мышка,2,мышка,2,мышка,2,True,True,True,True,True
71,71,делопроизводство,6,делопроизводство,6,делопроизводство,5,True,False,False,True,True
72,72,подлежащее,5,подлежащее,4,подлежащее,4,False,False,True,True,True
73,73,юниор,3,юниор,3,юниор,2,True,False,False,True,True
74,74,ципрофлоксацин,5,ципрофлоксацин,5,ципрофлоксацин,5,True,True,True,True,True
75,75,аккуратно,4,аккуратно,4,аккуратно,4,True,True,True,True,True
76,76,деятельности,5,деятельности,5,деятельности,4,True,False,False,True,True
77,77,расстояние,5,расстояние,4,расстояние,3,False,False,False,True,True
78,78,алфавит,3,алфавит,3,алфавит,3,True,True,True,True,True
79,79,фотография,5,фотография,5,фотография,4,True,False,False,True,True
80,80,въезд,1,въезд,1,въезд,1,True,True,True,True,True
81,81,шесть,1,шесть,1,шесть,1,True,True,True,True,True
82,82,криминалистического,8,криминалистического,7,криминалистического,8,False,True,False,True,True
