;Natasha_no_hyphen1;Tokens;Lemmas;wh_words;wh_dicts
0;«Это что, нормально для кошки?» – нервно подумал мистер Дурслей, но постарался взять себя в руки и вошел в дом.;26;[{'PUNCT': '«'}, {'PRON': 'это'}, {'PRON': 'что'}, {'PUNCT': ','}, {'ADJ': 'нормальный'}, {'ADP': 'для'}, {'NOUN': 'кошка'}, {'PUNCT': '?'}, {'PUNCT': '»'}, {'PUNCT': '–'}, {'ADV': 'нервно'}, {'VERB': 'подумать'}, {'NOUN': 'мистер'}, {'PROPN': 'дурслей'}, {'PUNCT': ','}, {'CCONJ': 'но'}, {'VERB': 'постараться'}, {'VERB': 'взять'}, {'PRON': 'себя'}, {'ADP': 'в'}, {'NOUN': 'рука'}, {'CCONJ': 'и'}, {'VERB': 'войти'}, {'ADP': 'в'}, {'NOUN': 'дом'}, {'PUNCT': '.'}];что;[{'PRON': 'что'}]
1;Что, будут у нас вечером совопады, Джим?;10;[{'PRON': 'что'}, {'PUNCT': ','}, {'AUX': 'быть'}, {'ADP': 'у'}, {'PRON': 'мы'}, {'NOUN': 'вечер'}, {'NOUN': 'совопад'}, {'PUNCT': ','}, {'PROPN': 'джим'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
6;А что?;3;[{'CCONJ': 'а'}, {'PRON': 'что'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
7;И что?;3;[{'CCONJ': 'и'}, {'PRON': 'что'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
8;Мистер Дурслей колебался: говорить или нет, что сегодня на улице он слышал имя Поттеров?;17;[{'NOUN': 'мистер'}, {'PROPN': 'дурслей'}, {'VERB': 'колебаться'}, {'PUNCT': ':'}, {'VERB': 'говорить'}, {'CCONJ': 'или'}, {'PART': 'нет'}, {'PUNCT': ','}, {'PRON': 'что'}, {'ADV': 'сегодня'}, {'ADP': 'на'}, {'NOUN': 'улица'}, {'PRON': 'он'}, {'VERB': 'слышать'}, {'NOUN': 'имя'}, {'PROPN': 'поттер'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
21;Слышали, о чем все говорят?;7;[{'VERB': 'слышать'}, {'PUNCT': ','}, {'ADP': 'о'}, {'PRON': 'что'}, {'PRON': 'весь'}, {'VERB': 'говорить'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
25;После всего, что он сделал… стольких погубил… не сумел убить ребенка?;15;[{'ADP': 'после'}, {'PRON': 'весь'}, {'PUNCT': ','}, {'PRON': 'что'}, {'PRON': 'он'}, {'VERB': 'сделать'}, {'PUNCT': '…'}, {'VERB': 'столько'}, {'VERB': 'погубить'}, {'PUNCT': '…'}, {'PART': 'не'}, {'VERB': 'суметь'}, {'VERB': 'убить'}, {'NOUN': 'ребенок'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
28;Это ведь он вам сказал, что я буду здесь?;11;[{'PRON': 'это'}, {'PART': 'ведь'}, {'PRON': 'он'}, {'PRON': 'вы'}, {'VERB': 'сказать'}, {'PUNCT': ','}, {'SCONJ': 'что'}, {'PRON': 'я'}, {'AUX': 'быть'}, {'ADV': 'здесь'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
34;Думбльдор, вы и правда полагаете, что все это можно растолковать в письме?;15;[{'PROPN': 'думбльдор'}, {'PUNCT': ','}, {'PRON': 'вы'}, {'CCONJ': 'и'}, {'ADV': 'правда'}, {'VERB': 'полагать'}, {'PUNCT': ','}, {'SCONJ': 'что'}, {'DET': 'весь'}, {'PRON': 'это'}, {'ADV': 'можно'}, {'VERB': 'растолковать'}, {'ADP': 'в'}, {'NOUN': 'письмо'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
45;Ну что, встал?;5;[{'PART': 'ну'}, {'PRON': 'что'}, {'PUNCT': ','}, {'VERB': 'встать'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
