Unnamed: 0,Natasha_no_hyphen1,Tokens,Lemmas,wh_words,wh_dicts,annotation
55,А ты вообще откуда?,5,"[{'CCONJ': 'а'}, {'PRON': 'ты'}, {'ADV': 'вообще'}, {'ADV': 'откуда'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
124,"Никогда не интересовался, откуда у тебя шрам на лбу?",11,"[{'ADV': 'никогда'}, {'PART': 'не'}, {'VERB': 'интересоваться'}, {'PUNCT': ','}, {'ADV': 'откуда'}, {'ADP': 'у'}, {'PRON': 'ты'}, {'VERB': 'шрам'}, {'ADP': 'на'}, {'NOUN': 'лоб'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],1
432,Откуда я знаю?,4,"[{'ADV': 'откуда'}, {'PRON': 'я'}, {'VERB': 'знать'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
711,Откуда вам известно?,4,"[{'ADV': 'откуда'}, {'PRON': 'вы'}, {'ADJ': 'известный'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
887,А он откуда узнал?,5,"[{'CCONJ': 'а'}, {'PRON': 'он'}, {'ADV': 'откуда'}, {'VERB': 'узнать'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
921,(Откуда она их взяла? – ужаснулся Рон.,10,"[{'PUNCT': '('}, {'ADV': 'откуда'}, {'PRON': 'она'}, {'PRON': 'они'}, {'VERB': 'взять'}, {'PUNCT': '?'}, {'PUNCT': '–'}, {'VERB': 'ужаснуться'}, {'PROPN': 'рон'}, {'PUNCT': '.'}]",откуда,[{'ADV': 'откуда'}],2
1156,Откуда она взялась?,4,"[{'ADV': 'откуда'}, {'PRON': 'она'}, {'VERB': 'взяться'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
1290,"Откуда ему успеть, Гарри-то?",6,"[{'ADV': 'откуда'}, {'PRON': 'он'}, {'VERB': 'успеть'}, {'PUNCT': ','}, {'PROPN': 'гарри-то'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
1346,Откуда я знаю?,4,"[{'ADV': 'откуда'}, {'PRON': 'я'}, {'VERB': 'знать'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
1355,Откуда такие сведения?,4,"[{'ADV': 'откуда'}, {'DET': 'такой'}, {'NOUN': 'сведение'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
1467,А ты откуда знаешь?,5,"[{'CCONJ': 'а'}, {'PRON': 'ты'}, {'ADV': 'откуда'}, {'VERB': 'знать'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
1521,А откуда у Огрида на это мозги или могущество?,10,"[{'CCONJ': 'а'}, {'ADV': 'откуда'}, {'ADP': 'у'}, {'PROPN': 'огрид'}, {'ADP': 'на'}, {'PRON': 'это'}, {'NOUN': 'мозг'}, {'CCONJ': 'или'}, {'NOUN': 'могущество'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
1547,А меч откуда?,4,"[{'CCONJ': 'а'}, {'NOUN': 'меч'}, {'ADV': 'откуда'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
1740,"А откуда его взять, если рядом такая зверюга?",10,"[{'CCONJ': 'а'}, {'ADV': 'откуда'}, {'PRON': 'он'}, {'VERB': 'взять'}, {'PUNCT': ','}, {'SCONJ': 'если'}, {'ADV': 'рядом'}, {'DET': 'такой'}, {'NOUN': 'зверюга'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
1778,Откуда ты знаешь?,4,"[{'ADV': 'откуда'}, {'PRON': 'ты'}, {'VERB': 'знать'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
1984,Откуда вы знаете?,4,"[{'ADV': 'откуда'}, {'PRON': 'вы'}, {'VERB': 'знать'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
2439,Ты-то здесь откуда?,4,"[{'PROPN': 'ты-то'}, {'ADV': 'здесь'}, {'ADV': 'откуда'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
2477,Откуда вы знаете про плащ?,6,"[{'ADV': 'откуда'}, {'PRON': 'вы'}, {'VERB': 'знать'}, {'ADP': 'про'}, {'NOUN': 'плащ'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
2604,Откуда у тебя эти… часы?,7,"[{'ADV': 'откуда'}, {'ADP': 'у'}, {'PRON': 'ты'}, {'DET': 'этот'}, {'PUNCT': '…'}, {'NOUN': 'час'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
2683,Откуда вы знаете?,4,"[{'ADV': 'откуда'}, {'PRON': 'вы'}, {'VERB': 'знать'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
2717,"Видимо, опять сера скопилась – иначе откуда бы такое непонятное слово «квидиш»?",16,"[{'ADV': 'видимо'}, {'PUNCT': ','}, {'ADV': 'опять'}, {'NOUN': 'сера'}, {'NOUN': 'скопиться'}, {'PUNCT': '–'}, {'CCONJ': 'иначе'}, {'ADV': 'откуда'}, {'AUX': 'бы'}, {'DET': 'такой'}, {'ADJ': 'непонятный'}, {'NOUN': 'слово'}, {'PUNCT': '«'}, {'NOUN': 'квидиш'}, {'PUNCT': '»'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],2
2999,"Вы трое – говорите, откуда взялся Знак?",9,"[{'PRON': 'вы'}, {'NUM': 'трое'}, {'PUNCT': '–'}, {'VERB': 'говорить'}, {'PUNCT': ','}, {'ADV': 'откуда'}, {'VERB': 'взяться'}, {'PROPN': 'знак'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],2
3010,"Откуда ты, Барти?",5,"[{'ADV': 'откуда'}, {'PRON': 'ты'}, {'PUNCT': ','}, {'PROPN': 'барти'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
