ID;NLTK;Natasha
1;«Это что, нормально для кошки?» – нервно подумал мистер Дурслей, но постарался взять себя в руки и вошел в дом.;«Это что, нормально для кошки?» – нервно подумал мистер Дурслей, но постарался взять себя в руки и вошел в дом.
2;Что, будут у нас вечером совопады, Джим?;Что, будут у нас вечером совопады, Джим?
3;Метеоритные дожди по всей Британии?;Метеоритные дожди по всей Британии?
4;Совы средь бела дня?;Совы средь бела дня?
5;Странные люди в мантиях?;Странные люди в мантиях?
6;– Э-э-э… Петуния, дорогая… к слову… про сестру твою ничего не слышно?;Петуния, дорогая… к слову… про сестру твою ничего не слышно?
7;– А что?;– А что?
8;– Совы… метеоритный дождь… а еще в городе полно чудных людей… – И что?;– И что? – перебила миссис Дурслей.
9;Мистер Дурслей колебался: говорить или нет, что сегодня на улице он слышал имя Поттеров?;Мистер Дурслей колебался: говорить или нет, что сегодня на улице он слышал имя Поттеров?
10;И он спросил как можно равнодушнее: – А их сын… Он ведь по возрасту примерно как наш Дудли?;Он ведь по возрасту примерно как наш Дудли?
11;– А как там его?;– А как там его?
12;Говард?;Говард?
13;Неужели и это связано с Поттерами?;Неужели и это связано с Поттерами?
14;Думбльдор хмыкнул и пробормотал: – И как это я не догадался?;Думбльдор хмыкнул и пробормотал: – И как это я не догадался?
15;– Как вы догадались, что это я?;– Как вы догадались, что это я? – спросила она.
16;– За целый день?;– За целый день?
17;Вместо того чтобы праздновать?;Вместо того чтобы праздновать?
18;Он ведь и правдасгинул,да?;Он ведь и правдасгинул,да?
19;Хотите лимончик?;Хотите лимончик?
20;– Что?;– Что?
21;– Нет, спасибо, – произнесла профессор Макгонаголл неодобрительно: до карамелек ли?;– Нет, спасибо, – произнесла профессор Макгонаголл неодобрительно: до карамелек ли?
22;Но вот слухи… Слышали, о чем все говорят?;Слышали, о чем все говорят?
23;Почему он сгинул?;Почему он сгинул?
24;И чтó его в конце концов остановило?;И чтó его в конце концов остановило?
25;– Это… правда?;– Это… правда?
26;– После всего, что он сделал… стольких погубил… не сумел убить ребенка?;– После всего, что он сделал… стольких погубил… не сумел убить ребенка?
27;Поразительно… Чтобы именно это его остановило?.;Чтобы именно это его остановило?. .
28;Но как, во имя неба, Гарри выжил?;Но как, во имя неба, Гарри выжил?
29;Это ведь он вам сказал, что я буду здесь?;Это ведь он вам сказал, что я буду здесь?
30;– Да, – ответила профессор Макгонаголл, – и, я думаю, вы вряд ли объясните, почему именно здесь?;– Да, – ответила профессор Макгонаголл, – и, я думаю, вы вряд ли объясните, почему именно здесь?
31;– Что?;– Что?
32;Людям из этого дома?;Людям из этого дома? – вскричала профессор Макгонаголл, вскакивая с ограды и тыча пальцем в дом № 4.
33;И чтобы Гарри Поттер жил с ними?.;И чтобы Гарри Поттер жил с ними?. .
34;– Письмо?;– Письмо? – слабым голосом переспросила профессор Макгонаголл, вновь опускаясь на ограду.
35;– Думбльдор, вы и правда полагаете, что все это можно растолковать в письме?;– Думбльдор, вы и правда полагаете, что все это можно растолковать в письме?
36;Разве вы не понимаете, насколько лучше, если он вырастет вдали от шумихи и узнает правду, лишь когда сможет сам во всем разобраться?;Разве вы не понимаете, насколько лучше, если он вырастет вдали от шумихи и узнает правду, лишь когда сможет сам во всем разобраться?
37;Но как мальчик попадет сюда?;Но как мальчик попадет сюда?
38;Она подозрительно оглядела плащ Думбльдора: не скрывается ли в складках ребенок?;Она подозрительно оглядела плащ Думбльдора: не скрывается ли в складках ребенок?
39;– Полагаете, это…разумно– доверять столь важное дело Огриду?;– Полагаете, это…разумно– доверять столь важное дело Огриду?
40;И его всегда так и тянет… Это ещечто такое?;Это ещечто такое?
41;Где ты взял мотоцикл?;Где ты взял мотоцикл?
42;– По дороге никаких неприятностей?;– По дороге никаких неприятностей?
43;– А нельзя что-нибудь с этим сделать, Думбльдор?;– А нельзя что-нибудь с этим сделать, Думбльдор?
