Unnamed: 0,Natasha_no_hyphen1,Tokens,Lemmas,wh_words,wh_dicts,annotation
48,"И мы купим тебе ещедваподарка, когда пойдем гулять, да?",12,"[{'CCONJ': 'и'}, {'PRON': 'мы'}, {'VERB': 'купить'}, {'PRON': 'ты'}, {'VERB': 'ещедваподарка'}, {'PUNCT': ','}, {'SCONJ': 'когда'}, {'VERB': 'пойти'}, {'VERB': 'гулять'}, {'PUNCT': ','}, {'PART': 'да'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],2
204,"Но ее, полагаю, сломали пополам, когда тебя исключили?",12,"[{'CCONJ': 'но'}, {'PRON': 'она'}, {'PUNCT': ','}, {'VERB': 'полагать'}, {'PUNCT': ','}, {'VERB': 'сломать'}, {'ADV': 'пополам'}, {'PUNCT': ','}, {'SCONJ': 'когда'}, {'PRON': 'ты'}, {'VERB': 'исключить'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],1
343,"А сами занятия, когда наконец удавалось отыскать класс?",10,"[{'PROPN': 'а'}, {'ADJ': 'сам'}, {'NOUN': 'занятие'}, {'PUNCT': ','}, {'SCONJ': 'когда'}, {'ADV': 'наконец'}, {'VERB': 'удаваться'}, {'VERB': 'отыскать'}, {'NOUN': 'класс'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],2
463,"Может, Флинт с ней что-нибудь сделал, когда его блокировал?",12,"[{'VERB': 'мочь'}, {'PUNCT': ','}, {'PROPN': 'флинт'}, {'ADP': 'с'}, {'PRON': 'она'}, {'PRON': 'что-нибудь'}, {'VERB': 'сделать'}, {'PUNCT': ','}, {'SCONJ': 'когда'}, {'PRON': 'он'}, {'VERB': 'блокировать'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],1
719,"Вы не в курсе, каково было, когда он пытался захватить власть?",14,"[{'PRON': 'вы'}, {'PART': 'не'}, {'ADP': 'в'}, {'NOUN': 'курс'}, {'PUNCT': ','}, {'ADJ': 'каков'}, {'AUX': 'быть'}, {'PUNCT': ','}, {'SCONJ': 'когда'}, {'PRON': 'он'}, {'VERB': 'пытаться'}, {'VERB': 'захватить'}, {'NOUN': 'власть'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],1
1356,"Я этот самый приз раз пятьдесят чистил – помнишь, когда отбывал наказание у Филча?",16,"[{'PRON': 'я'}, {'DET': 'этот'}, {'ADJ': 'самый'}, {'NOUN': 'приз'}, {'NOUN': 'раз'}, {'NUM': 'пятьдесят'}, {'VERB': 'чистить'}, {'PUNCT': '–'}, {'VERB': 'помнить'}, {'PUNCT': ','}, {'SCONJ': 'когда'}, {'VERB': 'отбывать'}, {'NOUN': 'наказание'}, {'ADP': 'у'}, {'PROPN': 'филча'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],1
1371,"Когда он снова перевел глаза на страницу дневника, там проступила новая запись: «Показать тебе?",18,"[{'SCONJ': 'когда'}, {'PRON': 'он'}, {'ADV': 'снова'}, {'VERB': 'перевести'}, {'NOUN': 'глаз'}, {'ADP': 'на'}, {'NOUN': 'страница'}, {'NOUN': 'дневник'}, {'PUNCT': ','}, {'ADV': 'там'}, {'ADJ': 'проступить'}, {'ADJ': 'новый'}, {'NOUN': 'запись'}, {'PUNCT': ':'}, {'PUNCT': '«'}, {'VERB': 'показать'}, {'PRON': 'ты'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],2
1600,"Когда узнают, чтоты сделал в этом году?",9,"[{'SCONJ': 'когда'}, {'VERB': 'узнавать'}, {'PUNCT': ','}, {'NOUN': 'чтота'}, {'VERB': 'сделать'}, {'ADP': 'в'}, {'DET': 'этот'}, {'NOUN': 'год'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],0
1987,"Помните тот день, когда мы боролись с вризраком?",10,"[{'PROPN': 'помните'}, {'DET': 'тот'}, {'NOUN': 'день'}, {'PUNCT': ','}, {'SCONJ': 'когда'}, {'PRON': 'мы'}, {'VERB': 'бороться'}, {'ADP': 'с'}, {'NOUN': 'вризрак'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],1
2026,"Последний раз,когда мы с ними играли, Гарри поймал Проныру в пять минут, помнишь?",18,"[{'ADJ': 'последний'}, {'NOUN': 'раз'}, {'PUNCT': ','}, {'ADV': 'когда'}, {'PRON': 'мы'}, {'ADP': 'с'}, {'PRON': 'они'}, {'VERB': 'играть'}, {'PUNCT': ','}, {'PROPN': 'гарри'}, {'VERB': 'поймать'}, {'PROPN': 'проныра'}, {'ADP': 'в'}, {'NUM': 'пять'}, {'NOUN': 'минута'}, {'PUNCT': ','}, {'VERB': 'помнить'}, {'PUNCT': '?'}]",когда,[{'ADV': 'когда'}],1
2264,Когда ты все успеваешь?,5,"[{'SCONJ': 'когда'}, {'PRON': 'ты'}, {'PRON': 'весь'}, {'VERB': 'успевать'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],0
2534,Это когда же я увивался вокруг сильных и облеченных властью?,11,"[{'PRON': 'это'}, {'ADV': 'когда'}, {'PART': 'же'}, {'PRON': 'я'}, {'VERB': 'увиваться'}, {'ADP': 'вокруг'}, {'ADJ': 'сильный'}, {'CCONJ': 'и'}, {'ADJ': 'облеченный'}, {'NOUN': 'власть'}, {'PUNCT': '?'}]",когда,[{'ADV': 'когда'}],0
2571,Когда мне можно переехать?,5,"[{'SCONJ': 'когда'}, {'PRON': 'я'}, {'ADV': 'можно'}, {'VERB': 'переехать'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],0
