,word,syllable
1528,зонтик,2
94,макроэкономический,8
1296,неодинаково,6
533,топсайдеры,4
2005,щавеля,3
1674,царство,2
184,химиопрофилактика,8
314,реабилитационную,9
1771,гвоздика,3
1795,Египет,3
553,французского,4
2291,ща,1
809,соответственно,5
556,фигуристы,4
1438,ясновидение,6
2166,мост,1
181,хореографическое,8
1475,гнездо,2
1949,фиалка,3
986,западносахалинский,7
795,распространено,5
2008,щепотка,3
824,уважение,5
739,колыбельная,5
979,железнодорожника,7
2152,лук,1
1315,парикмахерская,6
2037,ярмарка,3
397,деятельность,4
792,расписание,5
648,библиотека,5
485,научился,4
1537,имя,2
1641,утюг,2
438,инструменты,4
709,заключается,5
475,медвежонок,4
1688,чеснок,2
1723,Юра,2
1820,животных,3
2073,гвоздь,1
899,юридических,5
1634,трава,2
1825,загадка,3
1918,рисовать,3
1936,Татьяна,3
1123,характеризировать,7
1386,целеустремленность,6
1444,являющемуся,6
348,энергосберегающая,9
1002,изобразительное,7
443,интересный,4
2176,на,1
1196,воспоминание,6
584,Чиполлино,4
426,зоопарке,4
1624,сестра,2
620,юрисконсульт,4
1406,широкополосный,6
1738,ясень,2
832,фотоаппарат,5
1807,ёжиком,3
1988,читайте,3
1284,литературные,6
113,олицетворяющее,8
1819,желудок,3
1923,самолёт,3
911,ядовитое,5
1891,осенью,3
19,берегоукрепительный,8
1579,мышка,2
1214,делопроизводство,6
787,подлежащее,5
2021,юниор,3
855,ципрофлоксацин,5
354,аккуратно,4
681,деятельности,5
791,расстояние,5
1749,алфавит,3
831,фотография,5
2065,въезд,1
2278,шесть,1
78,криминалистического,8
160,уклонообразующий,8
713,золотистые,5
621,юношеский,4
1155,эксплуатационный,7
1021,ламинирование,7
226,бактериологические,9
1256,индивидуальный,6
1082,самостоятельности,7
2212,стул,1
2026,юбилей,3
1131,целесообразностью,7
1363,уведомление,6
2304,яд,1
272,макроэкономическое,9
472,магнитофон,4
2011,Эдуард,3
938,Водоплавающая,7
273,малооплачиваемая,9
687,доказательство,5
435,интересно,4
119,перераспределение,8
1656,фирма,2
337,фотосинтезирующая,9
1456,большой,2
436,история,4
1885,ноутбук,3
2090,ёж,1
925,аристократический,7
2117,змей,1
149,термопреобразователь,8
1576,майка,2
342,энергосберегающие,9
2293,щу,1
515,рождения,4
1628,сосна,2
588,шампанское,4
854,царапается,5
1774,гитара,3
474,муравейник,4
1730,Ютуб,2
1777,геркулес,3
1439,являющаяся,6
1140,человеколюбивым,7
1725,Юрий,2
1325,распространенное,6
851,Циолковского,5
2259,центр,1
1003,индивидуальные,7
237,газонепроницаемые,9
79,коммерциализации,8
1183,благотворительность,6
1101,удостоверение,7
1388,цивилизация,6
2239,фильм,1
1613,рассказ,2
1362,употребления,6
2260,царь,1
1639,тополь,2
903,юристконсульта,5
70,ираианяипапа,8
1985,чёрные,3
1585,нитка,2
580,чудесные,4
989,зоологические,7
1721,юла,2
109,общечеловеческие,8
1026,многофункциональный,7
2228,тюль,1
210,автомобилестроение,9
1671,цапля,2
1152,шестидесятничества,7
581,черёмуха,4
524,смородина,4
76,квалифицированные,8
80,конкурентоспособными,8
418,жаворонок,4
1445,астра,2
2136,йорж,1
2232,ус,1
1724,юнга,2
1765,валенки,3
1839,индейка,3
1023,лимитирующее,7
1943,улица,3
608,экскурсия,4
1912,ресторан,3
1654,фрукты,2
25,взаимоотношениях,8
716,заливаются,5
1169,южноамериканка,7
129,разрабытываемое,8
1570,ландыш,2
17,бактериоуловитель,8
88,многонациональная,8
2153,лес,1
1543,йотта,2
691,Екатеринбург,5
773,объяснение,5
573,целебные,4
1712,экран,2
1996,шустрые,3
731,коллекционный,5
1511,журавль,2
1948,угольки,3
1488,детство,2
1389,целесообразно,6
1136,чередующиеся,7
179,характеризующая,8
16,биофармацевтический,8
1268,Классификация,6
1351,телосложение,6
1370,филологический,6
194,четырнадцатилетие,8
448,колокольчик,4
1094,транспортирования,7
2276,чьи,1
85,логарифмирования,8
1815,жёрдочка,3
369,бензиновый,4
1434,юстирование,6
108,оборотоспособности,8
1969,цыплёнок,3
1561,листья,2
305,психоневрологического,9
1433,юмористическим,6
895,экскаваторщик,5
2058,бровь,1
1165,юмористического,7
2040,ад,1
1260,исследование,6
2007,щурится,3
2116,злой,1
1941,учитель,3
1478,гости,2
1318,произведения,6
1870,молния,3
2295,щип,1
391,гиппопотам,4
95,метеорологических,8
454,калейдоскоп,4
1665,хорёк,2
798,разливается,5
912,языческие,5
7,анаморфирование,8
1530,завтра,2
111,освидетельствования,8
665,Владимировна,5
1150,широковещательность,7
1160,электроэнергии,7
422,желание,4
2307,ямб,1
140,самосовершенствоваться,8
850,цилиндрический,5
2093,ей,1
498,попугаи,4
1301,неодушевленный,6
1645,ухо,2
2209,рот,1
1015,кораблестроители,7
1739,яркий,2
327,телекоммуникационной,9
2042,Арш,1
2002,щупальца,3
1734,яма,2
1683,чашка,2
1706,щепка,2
2224,тень,1
433,забияка,4
737,концентрация,5
447,Йокагама,4
201,энергосберегающий,8
800,сказуемое,5
738,кондиционер,5
1272,коэффициентов,6
332,труднообрабатываемых,9
2253,холст,1
280,материаловедческое,9
566,хозяина,4
1890,осина,3
458,лингвистика,4
1657,факел,2
1068,равнодействующую,7
1540,Инна,2
304,послеоперационные,9
1428,юридическая,6
1154,шумоподавление,7
1514,жёлудь,2
1060,пресмыкающиеся,7
816,третьяковская,5
233,высокоэнергетических,9
1938,тёплая,3
127,регламентирующими,8
224,биотехнологического,9
455,комедия,4
1655,фокус,2
336,фотографирующиеся,9
1312,обслуживание,6
988,заинтересованность,7
778,одиночество,5
2118,зубр,1
417,жемчужина,4
265,культурноисторическими,9
190,черносмородиновое,8
2274,чиж,1
1168,южноамериканец,7
936,Великобритания,7
246,гидроизолирующие,9
1141,четырехугольнике,7
827,украшения,5
1482,галстук,2
780,путешествие,5
1698,шишки,2
954,головокружительным,7
1251,замерзающего,6
1288,муниципального,6
185,характеристическими,8
1595,объезд,2
598,щиколотка,4
182,хореографические,8
794,рассказывает,5
715,заявление,5
384,Гагарина,4
1784,деревня,3
1928,скорая,3
1544,Йемен,2
1234,жизнедеятельность,6
442,испугала,4
658,воробьиное,5
1,администрирование,8
774,олимпиада,5
1411,шарикоподшипник,6
1273,комбинированный,6
1597,очень,2
2127,Ил,1
2225,трость,1
43,документооборота,8
1883,носорог,3
361,Америка,4
756,могущественный,5
1281,ломоносовская,6
853,церемония,5
164,ультрафиолетового,8
1524,здравствуй,2
518,сковорода,4
841,художественной,5
199,эксплуатационная,8
1806,ёжился,3
1720,Элла,2
292,оперуполномоченного,9
1425,юриспруденция,6
153,тепломеханического,8
1927,соловьи,3
1124,характеризовалась,7
2039,ай,1
483,ножницами,4
1591,осень,2
797,размышления,5
465,лиловые,4
1498,его,2
1417,энциклопедия,6
1403,чересполосица,6
1851,классная,3
2165,март,1
1984,чудеса,3
818,трудолюбивый,5
1958,фортуна,3
450,карандаши,4
1992,шиповник,3
52,жизнеобеспечения,8
2092,ест,1
1253,инициатива,6
2132,ик,1
1061,производительности,7
1666,хлопья,2
752,металлический,5
1617,рельсы,2
1593,окно,2
1249,заимствованные,6
729,йотированный,5
1761,варенье,3
914,являющихся,5
1565,лайка,2
1379,художественного,6
2292,щелк,1
1785,деревьев,3
462,лиственница,4
1447,арбуз,2
380,воочию,4
1200,возникновение,6
158,удовлетворительное,8
1078,соответствующего,7
1968,хозяйство,3
808,серебряные,5
1109,физиологическим,7
279,микробиологическая,9
174,функционированное,8
1508,ёлкин,2
1407,шероховатости,6
1258,интеллектуальный,6
1962,хозяин,3
2050,брат,1
2281,шкаф,1
496,оружие,4
1754,белочка,3
745,любознательный,5
157,усовершенствование,8
964,дифференциальные,7
90,многообещающая,8
711,заокеанский,5
2139,Йорк,1
81,канализационные,8
676,Гастрономия,5
349,электроизмерительные,9
439,иллюзия,4
1534,Ира,2
35,геополитического,8
1167,юмористическое,7
2244,флот,1
603,Щелкунчики,4
2198,пять,1
376,величавый,4
205,эпидемиология,8
2262,цепь,1
1788,девочки,3
1816,жёлтые,3
1327,распространение,6
887,экология,5
1007,контрреволюционный,7
651,биография,5
890,экономика,5
548,фамилия,4
805,ситуация,5
293,общеобразовательное,9
2038,ябеда,3
867,четырьмястами,5
1147,шахтостроительного,7
2156,люк,1
222,блокообрабатывающий,9
571,царапина,4
610,электричка,4
142,самореализация,8
2261,цвет,1
531,тщеславие,4
1748,азбука,3
1753,большая,3
654,белоснежная,5
1330,распределение,6
378,воробьиный,4
1731,якорь,2
372,воскресенье,4
1560,красный,2
1367,физиология,6
313,рационализированной,9
971,единообразия,7
