;Natasha_no_hyphen1;Tokens;Lemmas;wh_words;wh_dicts
313;Что, если он так и останется сидеть под Шляпой, пока профессор Макгонаголл ее не сорвет и не скажет, что произошла ошибка и лучше бы ему вернуться домой обратным поездом?;33;[{'PRON': 'что'}, {'PUNCT': ','}, {'SCONJ': 'если'}, {'PRON': 'он'}, {'ADV': 'так'}, {'PART': 'и'}, {'VERB': 'остаться'}, {'VERB': 'сидеть'}, {'ADP': 'под'}, {'PROPN': 'шляпа'}, {'PUNCT': ','}, {'SCONJ': 'пока'}, {'NOUN': 'профессор'}, {'PROPN': 'макгонаголл'}, {'PRON': 'она'}, {'PART': 'не'}, {'VERB': 'сорвать'}, {'CCONJ': 'и'}, {'PART': 'не'}, {'VERB': 'сказать'}, {'PUNCT': ','}, {'SCONJ': 'что'}, {'VERB': 'произойти'}, {'NOUN': 'ошибка'}, {'CCONJ': 'и'}, {'ADJ': 'лучше'}, {'AUX': 'бы'}, {'PRON': 'он'}, {'VERB': 'вернуться'}, {'ADV': 'домой'}, {'ADJ': 'обратный'}, {'NOUN': 'поезд'}, {'PUNCT': '?'}];"что; что";[{'PRON': 'что'}, {'SCONJ': 'что'}]
319;Ты мог бы стать великим, знаешь, тут в голове все есть, а «Слизерин» выведет тебя прямиком к величию, без сомненья, – не хочешь?;31;[{'PRON': 'ты'}, {'VERB': 'мочь'}, {'AUX': 'бы'}, {'VERB': 'стать'}, {'ADJ': 'великий'}, {'PUNCT': ','}, {'VERB': 'знать'}, {'PUNCT': ','}, {'ADV': 'тут'}, {'ADP': 'в'}, {'NOUN': 'голова'}, {'PRON': 'весь'}, {'VERB': 'быть'}, {'PUNCT': ','}, {'CCONJ': 'а'}, {'PUNCT': '«'}, {'NOUN': 'слизерин'}, {'PUNCT': '»'}, {'VERB': 'вывести'}, {'PRON': 'ты'}, {'ADV': 'прямиком'}, {'ADP': 'к'}, {'NOUN': 'величие'}, {'PUNCT': ','}, {'ADP': 'без'}, {'NOUN': 'сомнение'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'PART': 'не'}, {'VERB': 'хотеть'}, {'PUNCT': '?'}];0;0
345;Очень кривыми каракулями там было написано: Дорогой Гарри, Знаю, что в пятницу после обеда ты свободен, не желаешь ли попить со мной чайку, часика в три?;32;[{'ADV': 'очень'}, {'ADJ': 'кривой'}, {'NOUN': 'каракуль'}, {'ADV': 'там'}, {'AUX': 'быть'}, {'VERB': 'написать'}, {'PUNCT': ':'}, {'ADJ': 'дорогой'}, {'PROPN': 'гарри'}, {'PUNCT': ','}, {'VERB': 'знать'}, {'PUNCT': ','}, {'SCONJ': 'что'}, {'ADP': 'в'}, {'NOUN': 'пятница'}, {'ADP': 'после'}, {'NOUN': 'обед'}, {'PRON': 'ты'}, {'ADJ': 'свободный'}, {'PUNCT': ','}, {'PART': 'не'}, {'VERB': 'желать'}, {'PART': 'ли'}, {'VERB': 'попить'}, {'ADP': 'с'}, {'PRON': 'я'}, {'NOUN': 'чайка'}, {'PUNCT': ','}, {'VERB': 'часик'}, {'ADP': 'в'}, {'NUM': 'три'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
486;Они си-дели там часами, ели все, что можно было поджарить на длинной вилке – хлеб, пышки, зефир, – и строили козни против Малфоя: как бысделать так, чтобы его исключили?;37;[{'PRON': 'они'}, {'VERB': 'си-деть'}, {'ADV': 'там'}, {'NOUN': 'час'}, {'PUNCT': ','}, {'VERB': 'есть'}, {'PRON': 'весь'}, {'PUNCT': ','}, {'PRON': 'что'}, {'ADV': 'можно'}, {'AUX': 'быть'}, {'VERB': 'поджарить'}, {'ADP': 'на'}, {'ADJ': 'длинный'}, {'NOUN': 'вилка'}, {'PUNCT': '–'}, {'NOUN': 'хлеб'}, {'PUNCT': ','}, {'NOUN': 'пышка'}, {'PUNCT': ','}, {'NOUN': 'зефир'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'CCONJ': 'и'}, {'VERB': 'строить'}, {'NOUN': 'козни'}, {'ADP': 'против'}, {'PROPN': 'малфой'}, {'PUNCT': ':'}, {'SCONJ': 'как'}, {'NOUN': 'бысделать'}, {'ADV': 'так'}, {'PUNCT': ','}, {'SCONJ': 'чтобы'}, {'PRON': 'он'}, {'VERB': 'исключить'}, {'PUNCT': '?'}];"что; как";[{'PRON': 'что'}, {'SCONJ': 'как'}]
537;Она смотрела на вещи иначе – и то ужасалась при мысли, что Гарри целых три ночи подряд шатался по коридорам замка («А если бы Филч тебя поймал?;31;[{'PRON': 'она'}, {'VERB': 'смотреть'}, {'ADP': 'на'}, {'NOUN': 'вещь'}, {'ADV': 'иначе'}, {'PUNCT': '–'}, {'CCONJ': 'и'}, {'SCONJ': 'то'}, {'VERB': 'ужасаться'}, {'ADP': 'при'}, {'NOUN': 'мысль'}, {'PUNCT': ','}, {'SCONJ': 'что'}, {'PROPN': 'гарри'}, {'ADJ': 'целый'}, {'NUM': 'три'}, {'NOUN': 'ночь'}, {'ADV': 'подряд'}, {'VERB': 'шататься'}, {'ADP': 'по'}, {'NOUN': 'коридор'}, {'NOUN': 'замок'}, {'PUNCT': '('}, {'PUNCT': '«'}, {'CCONJ': 'а'}, {'SCONJ': 'если'}, {'AUX': 'бы'}, {'PROPN': 'филч'}, {'PRON': 'ты'}, {'VERB': 'поймать'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
1089;Но ведь ты согласишься, правда, – внезапно взорвался он, снова выхватывая письмо из кармана, – что сорок пять ударов тупым топором по шее дают человеку право вступить в Безголовую Братию?;35;[{'CCONJ': 'но'}, {'PART': 'ведь'}, {'PRON': 'ты'}, {'VERB': 'согласиться'}, {'PUNCT': ','}, {'ADV': 'правда'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'ADV': 'внезапно'}, {'VERB': 'взорваться'}, {'PRON': 'он'}, {'PUNCT': ','}, {'ADV': 'снова'}, {'VERB': 'выхватывать'}, {'NOUN': 'письмо'}, {'ADP': 'из'}, {'NOUN': 'карман'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'SCONJ': 'что'}, {'NUM': 'сорок'}, {'NUM': 'пять'}, {'NOUN': 'удар'}, {'ADJ': 'тупой'}, {'NOUN': 'топор'}, {'ADP': 'по'}, {'NOUN': 'шея'}, {'VERB': 'давать'}, {'NOUN': 'человек'}, {'NOUN': 'право'}, {'VERB': 'вступить'}, {'ADP': 'в'}, {'PROPN': 'безголовый'}, {'PROPN': 'братия'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
1090;Я хочу сказать, в чьих, как не в моих, интересах в первую-то очередь, чтобы в свое время все было проделано чисто и гладко и голова отлетела как положено?;33;[{'PRON': 'я'}, {'VERB': 'хотеть'}, {'VERB': 'сказать'}, {'PUNCT': ','}, {'ADP': 'в'}, {'NOUN': 'чей'}, {'PUNCT': ','}, {'SCONJ': 'как'}, {'PART': 'не'}, {'ADP': 'в'}, {'DET': 'мой'}, {'PUNCT': ','}, {'NOUN': 'интерес'}, {'ADP': 'в'}, {'NOUN': 'первый-то'}, {'NOUN': 'очередь'}, {'PUNCT': ','}, {'SCONJ': 'чтобы'}, {'ADP': 'в'}, {'DET': 'свой'}, {'NOUN': 'время'}, {'PRON': 'весь'}, {'AUX': 'быть'}, {'VERB': 'проделать'}, {'ADV': 'чисто'}, {'CCONJ': 'и'}, {'ADV': 'гладко'}, {'CCONJ': 'и'}, {'NOUN': 'голова'}, {'VERB': 'отлететь'}, {'SCONJ': 'как'}, {'NOUN': 'положить'}, {'PUNCT': '?'}];"чей; как; как";[{'NOUN': 'чей'}, {'SCONJ': 'как'}, {'SCONJ': 'как'}]
1530;Он вытащил из кармана волшебную палочку Гарри и вывел ею в воздухе светящиеся слова:ТОМ ЯРВОЛО РЕДДЛЬ Затем взмахнул палочкой, и буквы перетасовались:Я ЛОРД ВОЛЬДЕМОРТ – Дошло?;32;[{'PRON': 'он'}, {'VERB': 'вытащить'}, {'ADP': 'из'}, {'NOUN': 'карман'}, {'ADJ': 'волшебный'}, {'NOUN': 'палочка'}, {'PROPN': 'гарри'}, {'CCONJ': 'и'}, {'VERB': 'вывести'}, {'PRON': 'она'}, {'ADP': 'в'}, {'NOUN': 'воздух'}, {'ADJ': 'светящийся'}, {'NOUN': 'слово'}, {'PUNCT': ':'}, {'DET': 'том'}, {'PROPN': 'ярволо'}, {'PROPN': 'реддль'}, {'ADV': 'затем'}, {'ADJ': 'взмахнуть'}, {'NOUN': 'палочка'}, {'PUNCT': ','}, {'CCONJ': 'и'}, {'NOUN': 'буква'}, {'NOUN': 'перетасовались'}, {'PUNCT': ':'}, {'PRON': 'я'}, {'PROPN': 'лорд'}, {'PROPN': 'вольдеморт'}, {'PUNCT': '–'}, {'PROPN': 'дойти'}, {'PUNCT': '?'}];0;0
1554;Ну хорошо, – вступила в разговор профессор Макгонаголл, едва Гарри сделал паузу, – вы выяснили, где находится вход – при этом, не могу не заметить, бессовестно нарушив не меньше сотни школьных правил, – но как, объясните мне,каквам удалось выйти оттуда живыми, Поттер?;54;[{'PART': 'ну'}, {'ADV': 'хорошо'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'VERB': 'вступить'}, {'ADP': 'в'}, {'NOUN': 'разговор'}, {'NOUN': 'профессор'}, {'PROPN': 'макгонаголл'}, {'PUNCT': ','}, {'PART': 'едва'}, {'PROPN': 'гарри'}, {'VERB': 'сделать'}, {'NOUN': 'пауза'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'PRON': 'вы'}, {'VERB': 'выяснить'}, {'PUNCT': ','}, {'ADV': 'где'}, {'VERB': 'находиться'}, {'NOUN': 'вход'}, {'PUNCT': '–'}, {'ADP': 'при'}, {'PRON': 'это'}, {'PUNCT': ','}, {'PART': 'не'}, {'VERB': 'мочь'}, {'PART': 'не'}, {'VERB': 'заметить'}, {'PUNCT': ','}, {'ADV': 'бессовестно'}, {'VERB': 'нарушить'}, {'PART': 'не'}, {'NUM': 'меньше'}, {'NOUN': 'сотня'}, {'ADJ': 'школьный'}, {'NOUN': 'правило'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'CCONJ': 'но'}, {'SCONJ': 'как'}, {'PUNCT': ','}, {'VERB': 'объяснить'}, {'PRON': 'я'}, {'PUNCT': ','}, {'NOUN': 'каква'}, {'VERB': 'удаться'}, {'VERB': 'выйти'}, {'ADV': 'оттуда'}, {'ADJ': 'живой'}, {'PUNCT': ','}, {'PROPN': 'поттер'}, {'PUNCT': '?'}];"где; как";[{'ADV': 'где'}, {'SCONJ': 'как'}]
1557;Личноменябольше всего интересует, – мягко проговорил он, – каким образом Лорд Вольдеморт сумел околдовать Джинни, хотя, по сведениям из достоверных источников, он сейчас скрывается в лесах Албании?;33;[{'PROPN': 'личноменябольша'}, {'PRON': 'весь'}, {'VERB': 'интересовать'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'ADV': 'мягко'}, {'VERB': 'проговорить'}, {'PRON': 'он'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'DET': 'какой'}, {'NOUN': 'образ'}, {'PROPN': 'лорд'}, {'PROPN': 'вольдеморт'}, {'VERB': 'суметь'}, {'NOUN': 'околдовать'}, {'PROPN': 'джинни'}, {'PUNCT': ','}, {'SCONJ': 'хотя'}, {'PUNCT': ','}, {'ADP': 'по'}, {'NOUN': 'сведение'}, {'ADP': 'из'}, {'ADJ': 'достоверный'}, {'NOUN': 'источник'}, {'PUNCT': ','}, {'PRON': 'он'}, {'ADV': 'сейчас'}, {'VERB': 'скрываться'}, {'ADP': 'в'}, {'NOUN': 'лес'}, {'PROPN': 'албания'}, {'PUNCT': '?'}];какой;[{'DET': 'какой'}]
