ID;Russian;English
1;Более того, она очень строго посмотрела на мистера Дурсля, так что он даже подумал: «Может быть, кошки всегда себя так ведут?»  Затем, собравшись с духом, он вошел в дом, внушая себе при этом, что ему ни в коем случае не следует ни о чем рассказывать жене.;What could he have been thinking of?
2;Как ты думаешь, Джим, не будет ли сегодня вечером новых дождей из сов?»  «Не знаю, Тед.;Was this normal cat behavior?
3;— Э… Петунья, дорогая… Ты давно не получала известий от своей сестры?;"Going to be any more showers of owls tonight, Jim?"""
4;— А почему ты спрашиваешь?;Shooting stars all over Britain?
5;— Совы… падающие звезды… по городу ходят толпы странно одетых людей…  — И что?;Owls flying by daylight?
6;Вместо этого он произнес как бы между прочим:  — Их сын — он ведь ровесник Дадли, верно?;Mysterious people in cloaks all over the place?
7;— Не напомнишь мне, как его зовут?;"""Er -- Petunia, dear -- you haven't heard from your sister lately, have you?"""
8;Гарольд, кажется?;"""Why?"""
9;Мистер Дурсль спросил себя, не привиделось ли ему все то, с чем он столкнулся сегодня?;"""Owls... shooting stars... and there were a lot of funny-looking people in town today...""  ""So?"""
10;И если нет, то неужели все это связано с Поттерами?;"Instead he said, as casually as he could, ""Their son -- he'd be about Dudley's age now, wouldn't he?"""
11;— Как вы меня узнали?;"""What's his name again?"
12;— Целый день?;"Howard, isn't it?"""
13;В то время как вы могли праздновать вместе с другими?;Was he imagining things?
14;Кстати, я надеюсь, что он на самом деле исчез, это ведь так, Дамблдор?;Could all this have anything to do with the Potters?
15;Не хотите ли лимонную дольку?;"""How did you know it was me?"""
16;— Что?;"""All day?"
17;Вы знаете, о чем все говорят?;When you could have been celebrating?
18;Они гадают, почему он исчез?;"I suppose he really has gone, Dumbledore?"""
19;Гадают, что же наконец смогло его остановить?;"Would you care for a lemon drop?"""
20;— Это… это правда?;"""A what?"""
21;— После всего, что он сделал… После того, как он убил стольких из нас… он не смог убить маленького мальчика?;"""As I say, even if You-Know-Who has gone -""  ""My dear Professor, surely a sensible person like yourself can call him by his name?"
22;Это просто поразительно… Если вспомнить, сколько раз его пытались остановить… Какие меры для этого предпринимались… Но каким чудом Гарри удалось выжить?;You know what everyone's saying?
23;Кстати, я полагаю, именно он сказал вам, что я буду здесь?;About why he's disappeared?
24;— Но, я полагаю, вы не скажете мне, почему вы оказались именно здесь?;"About what finally stopped him?"""
25;— Неужели вы… Неужели вы имеете в виду тех, кто живет здесь?!;"""It's -- it's true?"""
26;И вы хотите, чтобы Гарри Поттер оказался здесь?!;"""After all he's done... all the people he's killed... he couldn't kill a little boy?"
27;— Письмо?;"It's just astounding... of all the things to stop him... but how in the name of heaven did Harry survive?"""
28;— Помилуйте, Дамблдор, неужели вы на самом деле думаете, что сможете объяснить в письме все, что случилось?;"I suppose it was he who told you I'd be here, by the way?"""
29;Неужели вы не видите, насколько лучше для него самого, если он будет жить здесь, далеко от нашего мира, до тех пор, пока не вырастет и будет в состоянии справиться со своей славой?;"""And I don't suppose you're going to tell me why you're here, of all places?"""
30;Но скажите, Дамблдор, как мальчик попадет сюда?;"""You don't mean -- you can't mean the people who live here?"""
31;— Вы думаете, это… Вы думаете, это разумно — доверить Хагриду столь ответственное задание?;"""A letter?"""
32;Он… Что это там?;"""Really, Dumbledore, you think you can explain all this in a letter?"
33;— А где ты взял этот мопед?;"CarA you see how much better off he'll be, growing up away from all that until he's ready to take it?"""
34;— Все прошло спокойно?;"But how is the boy getting here, Dumbledore?"""
35;— Вы ведь можете что-то сделать с ним, Дамблдор?;"""You think it -- wise -- to trust Hagrid with something as important as this?"""
36;— Могу я… Могу я попрощаться с ним, сэр?;"He does tend to -- what was that?"""
