;Natasha_no_hyphen1;Tokens;Lemmas;wh_words;wh_dicts
0;«Это что, нормально для кошки?» – нервно подумал мистер Дурслей, но постарался взять себя в руки и вошел в дом.;26;[{'PUNCT': '«'}, {'PRON': 'это'}, {'PRON': 'что'}, {'PUNCT': ','}, {'ADJ': 'нормальный'}, {'ADP': 'для'}, {'NOUN': 'кошка'}, {'PUNCT': '?'}, {'PUNCT': '»'}, {'PUNCT': '–'}, {'ADV': 'нервно'}, {'VERB': 'подумать'}, {'NOUN': 'мистер'}, {'PROPN': 'дурслей'}, {'PUNCT': ','}, {'CCONJ': 'но'}, {'VERB': 'постараться'}, {'VERB': 'взять'}, {'PRON': 'себя'}, {'ADP': 'в'}, {'NOUN': 'рука'}, {'CCONJ': 'и'}, {'VERB': 'войти'}, {'ADP': 'в'}, {'NOUN': 'дом'}, {'PUNCT': '.'}];что;[{'PRON': 'что'}]
1;Что, будут у нас вечером совопады, Джим?;10;[{'PRON': 'что'}, {'PUNCT': ','}, {'AUX': 'быть'}, {'ADP': 'у'}, {'PRON': 'мы'}, {'NOUN': 'вечер'}, {'NOUN': 'совопад'}, {'PUNCT': ','}, {'PROPN': 'джим'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
2;Метеоритные дожди по всей Британии?;6;[{'ADJ': 'метеоритный'}, {'NOUN': 'дождь'}, {'ADP': 'по'}, {'DET': 'весь'}, {'PROPN': 'британия'}, {'PUNCT': '?'}];0;0
3;Совы средь бела дня?;5;[{'PROPN': 'сова'}, {'ADV': 'средь'}, {'ADJ': 'белый'}, {'NOUN': 'день'}, {'PUNCT': '?'}];0;0
4;Странные люди в мантиях?;5;[{'ADJ': 'странный'}, {'NOUN': 'человек'}, {'ADP': 'в'}, {'NOUN': 'мантия'}, {'PUNCT': '?'}];0;0
5;Петуния, дорогая… к слову… про сестру твою ничего не слышно?;14;[{'PROPN': 'петуния'}, {'PUNCT': ','}, {'ADJ': 'дорогой'}, {'PUNCT': '…'}, {'ADP': 'к'}, {'NOUN': 'слово'}, {'PUNCT': '…'}, {'ADP': 'про'}, {'NOUN': 'сестра'}, {'DET': 'твой'}, {'PRON': 'ничто'}, {'PART': 'не'}, {'ADJ': 'слышный'}, {'PUNCT': '?'}];0;0
6;А что?;3;[{'CCONJ': 'а'}, {'PRON': 'что'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
7;И что?;3;[{'CCONJ': 'и'}, {'PRON': 'что'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
8;Мистер Дурслей колебался: говорить или нет, что сегодня на улице он слышал имя Поттеров?;17;[{'NOUN': 'мистер'}, {'PROPN': 'дурслей'}, {'VERB': 'колебаться'}, {'PUNCT': ':'}, {'VERB': 'говорить'}, {'CCONJ': 'или'}, {'PART': 'нет'}, {'PUNCT': ','}, {'PRON': 'что'}, {'ADV': 'сегодня'}, {'ADP': 'на'}, {'NOUN': 'улица'}, {'PRON': 'он'}, {'VERB': 'слышать'}, {'NOUN': 'имя'}, {'PROPN': 'поттер'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
9;Он ведь по возрасту примерно как наш Дудли?;9;[{'PRON': 'он'}, {'PART': 'ведь'}, {'ADP': 'по'}, {'NOUN': 'возраст'}, {'ADV': 'примерно'}, {'SCONJ': 'как'}, {'DET': 'наш'}, {'PROPN': 'дудли'}, {'PUNCT': '?'}];как;[{'SCONJ': 'как'}]
10;А как там его?;5;[{'CCONJ': 'а'}, {'ADV': 'как'}, {'ADV': 'там'}, {'PRON': 'он'}, {'PUNCT': '?'}];как;[{'ADV': 'как'}]
12;Неужели и это связано с Поттерами?;7;[{'PART': 'неужели'}, {'CCONJ': 'и'}, {'PRON': 'это'}, {'VERB': 'связать'}, {'ADP': 'с'}, {'PROPN': 'поттер'}, {'PUNCT': '?'}];0;0
