word,syllables
зонтик,2
макроэкономический,7
неодинаково,5
топсайдеры,4
щавеля,3
царство,2
химиопрофилактика,7
реабилитационную,6
гвоздика,3
Египет,3
французского,4
ща,1
соответственно,4
фигуристы,4
ясновидение,5
мост,1
хореографическое,6
гнездо,2
фиалка,2
западносахалинский,7
распространено,5
щепотка,3
уважение,4
колыбельная,4
железнодорожника,7
лук,1
парикмахерская,5
ярмарка,3
деятельность,3
расписание,4
библиотека,4
научился,3
имя,2
утюг,2
инструменты,4
заключается,4
медвежонок,4
чеснок,2
Юра,2
животных,3
гвоздь,1
юридических,5
трава,2
загадка,3
рисовать,3
Татьяна,3
характеризировать,7
целеустремленность,5
являющемуся,5
энергосберегающая,7
изобразительное,6
интересный,4
на,1
воспоминание,5
Чиполлино,4
зоопарке,3
сестра,2
юрисконсульт,4
широкополосный,6
ясень,2
фотоаппарат,4
ёжиком,3
читайте,3
литературные,5
олицетворяющее,6
желудок,3
самолёт,3
ядовитое,4
осенью,3
берегоукрепительный,7
мышка,2
делопроизводство,5
подлежащее,4
юниор,2
ципрофлоксацин,5
аккуратно,4
деятельности,4
расстояние,3
алфавит,3
фотография,4
въезд,1
шесть,1
криминалистического,8
уклонообразующий,6
золотистые,4
юношеский,4
эксплуатационный,5
ламинирование,6
бактериологические,7
индивидуальный,5
самостоятельности,6
стул,1
юбилей,3
целесообразностью,6
уведомление,5
яд,1
макроэкономическое,7
магнитофон,4
Эдуард,2
Водоплавающая,5
малооплачиваемая,6
доказательство,5
интересно,4
перераспределение,7
фирма,2
фотосинтезирующая,7
большой,2
история,3
ноутбук,2
ёж,1
аристократический,7
змей,1
термопреобразователь,7
майка,2
энергосберегающие,7
щу,1
рождения,3
сосна,2
шампанское,3
царапается,4
гитара,3
муравейник,4
Ютуб,2
геркулес,3
являющаяся,4
человеколюбивым,7
Юрий,2
распространенное,5
Циолковского,4
центр,1
индивидуальные,5
газонепроницаемые,7
коммерциализации,6
благотворительность,6
удостоверение,6
цивилизация,5
фильм,1
рассказ,2
употребления,5
царь,1
тополь,2
юристконсульта,5
ираианяипапа,5
чёрные,2
нитка,2
чудесные,3
зоологические,5
юла,2
общечеловеческие,7
многофункциональный,6
тюль,1
автомобилестроение,7
цапля,2
шестидесятничества,7
черёмуха,4
смородина,4
квалифицированные,7
конкурентоспособными,8
жаворонок,4
астра,2
йорж,1
ус,1
юнга,2
валенки,3
индейка,3
лимитирующее,5
улица,3
экскурсия,3
ресторан,3
фрукты,2
взаимоотношениях,5
заливаются,4
южноамериканка,6
разрабытываемое,6
ландыш,2
бактериоуловитель,6
многонациональная,6
лес,1
йотта,2
Екатеринбург,5
объяснение,4
целебные,3
экран,2
шустрые,2
коллекционный,4
журавль,2
угольки,3
детство,2
целесообразно,5
чередующиеся,5
характеризующая,6
биофармацевтический,7
Классификация,5
телосложение,5
филологический,6
четырнадцатилетие,7
колокольчик,4
транспортирования,6
чьи,1
логарифмирования,7
жёрдочка,3
бензиновый,4
юстирование,5
оборотоспособности,8
цыплёнок,3
листья,2
психоневрологического,9
юмористическим,6
экскаваторщик,5
бровь,1
юмористического,7
ад,1
исследование,5
щурится,3
злой,1
учитель,3
гости,2
произведения,4
молния,2
щип,1
гиппопотам,4
метеорологических,7
калейдоскоп,4
хорёк,2
разливается,4
языческие,4
анаморфирование,7
завтра,2
освидетельствования,7
Владимировна,5
широковещательность,7
электроэнергии,5
желание,3
ямб,1
самосовершенствоваться,8
цилиндрический,5
ей,1
попугаи,3
неодушевленный,5
ухо,2
рот,1
кораблестроители,6
яркий,2
телекоммуникационной,8
Арш,1
щупальца,3
яма,2
чашка,2
щепка,2
тень,1
